business_category,total_negative_reviews,replied_reviews,reply_rate_%,median_reply_delay_hours,wa_redirection_rate_%,sample_admin_reply
Layanan Pengiriman,5668,4229,74.61,10.66,51.08,"Hai, Kak. Mohon maaf atas kendala pesanan yang belum diterima dan respon toko yang lambat. Kami akan bantu cek status pesanan Kakak lebih lanjut. K..."
Manajemen Akun,2489,1853,74.45,11.18,36.81,"Hai, Kak. Mohon maaf atas ketidaknyamanan yang Kakak alami. Untuk penelusuran lebih lanjut terkait kendala Kakak, Kakak dapat menghubungi Shalma me..."
Performa Aplikasi,1016,732,72.05,10.72,43.17,"Hai, Kak. Mohon maaf atas kendala aplikasi Alfagift yang tidak responsif. Kami sarankan Kakak memastikan koneksi internet stabil dan aplikasi sudah..."
Aksesibilitas Aplikasi,709,543,76.59,12.16,38.12,"Hai, Kak. Maaf sekali untuk kendalanya ya. Silahkan coba kembali dengan jaringan seluler. Jika masih terkendala silahkan DM IG Alfagift :) ^ds"
Layanan Pelanggan,652,502,76.99,11.13,49.4,"Hai, Kak. Mohon maaf atas ketidaknyamanan yang Kakak alami. Untuk penelusuran lebih lanjut terkait kendala Kakak, Kakak dapat menghubungi Shalma me..."
Promosi dan Loyalitas,644,398,61.8,10.62,45.98,"Hai, Kak Seam. Maaf banget atas kendala yang terjadi. Kakak dapat menghubungi Shalma melalui DM Instagram Alfagift dengan melampirkan kode 3875021 ..."
Transaksi dan Pembayaran,422,302,71.56,11.55,42.05,"Hai, Kak Jessica. Maaf banget atas kendala yang terjadi. Kakak dapat menghubungi Shalma melalui DM Instagram Alfagift dengan melampirkan kode 38934..."
Akses Akun,397,278,70.03,9.14,42.45,"Hai, Kak. Shalma mohon maaf atas keterlambatan pengiriman yang terjadi. hal ini akan Shalma jadikan pembelajaran dan evaluasi agar kedepanya menjad..."
Ketersediaan Produk,278,189,67.99,8.67,37.04,"Hai, Kak. Mohon maaf atas ketidaknyamanannya. Mohon menghubungi Shalma melalui DM Instagram terkait detail kendalanya agar dapat di cek lebih lanju..."
Stabilitas Aplikasi,254,174,68.5,11.94,41.38,"Hai, Kak. Mohon maaf atas ketidaknyamanan saat mengakses aplikasi Alfagift. Kami akan terus melakukan optimalisasi agar aplikasi lebih ringan dan s..."
Kebijakan Pembayaran,242,168,69.42,4.53,50.0,"Hai, Kak. Saat ini, untuk pesanan Alfagift dengan total belanja di bawah Rp25.000 akan dikenakan biaya kirim sebesar Rp5.000. Namun, jika total bel..."
Kualitas Aplikasi,209,144,68.9,11.28,34.72,"Hai, Kak. Mohon maaf atas ketidaknyamanan yang Kakak alami. Untuk penelusuran lebih lanjut terkait kendala Kakak, Kakak dapat menghubungi Shalma me..."
Program Loyalitas,201,131,65.17,12.92,45.8,"Hai, Kak. Mohon maaf atas ketidaknyamanannya terkait penukaran poin dan ketersediaan produk. Kami ingin memastikan kendala ini, Kakak dapat menghub..."
Pengiriman,160,117,73.12,10.13,41.03,"Hai, Kak. Maaf banget atas kendala yang terjadi. Kakak dapat menghubungi Shalma melalui DM Instagram Alfagift dengan melampirkan kode 3873111 agar ..."
Manajemen Harga dan Promosi,106,73,68.87,12.14,36.99,"Hai, Kak Dwi. Maaf banget atas kendala yang terjadi. Kakak dapat menghubungi Shalma melalui DM Instagram Alfagift dengan melampirkan kode 3884298 a..."
Fitur Aplikasi,105,69,65.71,6.55,40.58,"Hai, Kak. Mohon maaf atas ketidaknyamanannya. Saat ini fitur pembatalan pesanan di Alfagift memang belum tersedia setelah pembayaran terkonfirmasi...."
Program Promosi dan Cashback,84,43,51.19,11.6,48.84,"Hai, Kak. Mohon maaf atas ketidaknyamanan yang Kakak rasakan terkait pelayanan kurir kami. Masukan Kakak sangat berharga bagi kami untuk meningkatk..."
Antarmuka Pengguna,77,66,85.71,2.9,39.39,"Hai, Kak. Mohon maaf atas ketidaknyamanan yang Kakak alami. Untuk penelusuran lebih lanjut terkait pesanan Alfagift, Kakak dapat menghubungi Shalma..."
Layanan Keuangan Digital,67,62,92.54,11.43,35.48,"Hai, Kak Putri. Maaf banget atas kendala yang terjadi. Jika masih terjadi kendala, Kakak dapat menghubungi Shalma melalui DM Instagram Alfagift den..."
Operasional Toko,34,20,58.82,18.65,50.0,"Hai, Kak. Mohon maaf atas ketidaknyamanan yang Kakak alami. Untuk penelusuran lebih lanjut terkait kendala Kakak, Kakak dapat menghubungi Shalma me..."
Lain-lain / Noise,17,9,52.94,7.03,44.44,"Hai, Kak. Kami selalu berusaha melakukan peningkatan kualitas layanan dan kepuasan pelanggan hingga layanan kami menjadi lebih baik dari sebelumnya..."
Pengalaman Pengguna,13,9,69.23,4.17,44.44,"Hai, kak, Maaf ya untuk kendalanya ya, sepertinya kendala Kaka bukan pada apikasi Alfagift. Shalma sarankan Kaka hubungi Medsos Alfamart ya :) ^ds"
