Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,2,-1_bapuk_promosinya_banyak_aplikasi,"['bapuk', 'promosinya', 'banyak', 'aplikasi', '', '', '', '', '', '']","['aplikasi bapuk', 'banyak promosinya']",Bapuk Promosinya Banyak
0,260,0_di_ada_toko_barang,"['di', 'ada', 'toko', 'barang', 'yang', 'tidak', 'saya', 'kalau', 'sudah', 'nya']","['aga kecewa sih pakai aplikasi klik indomaret tidak ada menu chat sama toko jadi tidak bisa bertanya kalau memang stok barang kosong seharusnya saat memasuki barang ke produk ada notifnya seperti alfagift terus kenapa tiba tiba produk yang kosong di batalin seharusnya pihak toko konfirmasi sama pelanggan mau di ganti sama produk lain yang sesuai dengan harganya apa bagaimana ini tidak ada konfirmasinya tiba tiba stok yang kosong langsung di batalin', 'belanja grocery tidak ada masalah tapi kalau belanja food kenapa harus dari toko yang jauuuh banget lebih dari 10km padahal dari rumah saya ada yang dekat indomaret point nya jadi kadang kurir nya komplain ke saya katanya jauh banget nganter nya tolong dong diperbaiki ini saja saya beli point kemarin jam 10 sampai sekarang belum diantar kalau misal ada kendala cuaca buruk ya mohon konfirmasi nya atau setidaknya bisa di cancel ini sudah lah tidak bisa di cancel dikirim juga enggak', 'tolong aplikasi nya lebih ditingkatkan lagi untuk item yang kosong di toko tidak ada stok nya tolong di buat keterangan stok kosong atau tidak bisa di pesan saya sering pesan food di aplikasi ini tapi untuk beberapa item yang stok barang nya kosong di toko tapi di aplikasi bisa di checkout ketika pesanan di konfirmasi sering sekali pesanan saya di cancel atau dikembalikan berupa uang sesuai dengan barang yang saya beli terkadang kembalian uang nya juga sering kurang']",Di Ada Toko
1,249,1_tolong_aplikasi_tidak_bisa,"['tolong', 'aplikasi', 'tidak', 'bisa', 'aplikasinya', 'nya', 'kenapa', 'lambat', 'perbaiki', 'lagi']","['ini aplikasi kenapa ya sekarang padahal saya sudah daftar dan login masa setiap mau belanja selalu suruh daftar lagi kenapa tidak seperti dulu gampang banget apalagi kalau buka aplikasi selalu bilang jaringan tidak stabil padahal wifi kencang banget', 'aplikasi nya lambat mau belanja susah mau klik pembayaran tidak bisa bisa', 'sangat membantu aplikasinya tanpa harus keluar bisa belanja di rumah saja tapi sayang akhir2 ini aplikasinya sering eror semakin lambat juga mohon di perbaiki ya biar tetap nyaman belanja di klik']",Tolong Aplikasi Tidak
2,175,2_tebus_murah_aplikasi_tidak,"['tebus', 'murah', 'aplikasi', 'tidak', 'yang', 'belanja', 'jadi', 'ada', 'klik', 'indomaret']","['yang versi baru kok bingung ya kalau yang lama belanja langsung muncul tebus murah di bawah nya yang sekarang malah tidak muncul tebus murahnya tolong di perbaiki lagi', 'sekarang sudah tidak bisa tebus murah lagi di aplikasinya', 'tebus murah nya kok tidak ada ya di aplikasi baru']",Tebus Murah Aplikasi
3,109,3_banget_lambat_susah_mau,"['banget', 'lambat', 'susah', 'mau', 'aplikasinya', 'saja', 'aplikasi', 'loading', 'nya', 'ya']","['lambat banget aplikasi nya', 'aplikasi nya lambat banget', 'lambat banget aplikasi nya']",Banget Lambat Susah
4,76,4_jam_sampai_pengiriman_pesan,"['jam', 'sampai', 'pengiriman', 'pesan', 'belum', 'antar', 'tidak', 'lama', 'tapi', '00']","['tidak cepat sampai jam 1', 'pengantaran masih harus di perbaiki lagi katanya 1 jam pasti sampai tapi saya order jam 8 pagi antar nya sudah jam 1 30 siang', 'pengiriman nya tidak sesuai aplikasi mending lebih cepat ini lebih lama masa pesan jam 11 estimasi tiba diapk jam 2 paling lama lah ini sampai jam setengah 4 belum sampai juga hadehhh']",Jam Sampai Pengiriman
5,67,5_barang_stok_toko_tidak,"['barang', 'stok', 'toko', 'tidak', 'lengkap', 'selalu', 'yang', 'sama', 'benar', 'sebelah']","['stok di toko indomaret nya tidak ada semua', 'saya pesan barang tapi stok kosong di cancel sama pihak toko toko yang salah karena tidak update barang tapi voucher saya yang hangus', 'habis di update malah loading barangnya lama beda sama toko merah']",Barang Stok Toko
6,62,6_pembayaran_bisa_tidak_menggunakan,"['pembayaran', 'bisa', 'tidak', 'menggunakan', 'di', 'akulaku', 'struk', 'shopeepay', 'driver', 'kenapa']","['kok sekarang pakai promo pembayaran akulaku kok tidak bisa ya semenjak diperbarui', 'untuk versi baru kenapa fitur pembayaran dengan menggunakan akulaku dan indodana hilang kebanyakan pakai va jadi sedih deh', 'kenapa setelah update kok saat pilih pembayaran tidak bisa di klik di coba semua metode pembayaran tidak bisa semua']",Pembayaran Bisa Tidak
7,50,7_bagus_lumayan_mantap_ok,"['bagus', 'lumayan', 'mantap', 'ok', 'cukup', 'good', 'tapi', 'atasan', 'untuk', 'minggu']","['bagus', 'bagus', 'lumayan bagus']",Bagus Lumayan Mantap
8,49,8_lama_loading_versi_sering,"['lama', 'loading', 'versi', 'sering', 'gagal', 'mulu', 'nyaman', 'cart', 'susah', 'koneksi']","['yang versi lama lebih baik dari versi yang baru aplikasi sering bug dan tidak bisa pakai paylater', 'lebih nyaman versi lama', 'loading lama']",Lama Loading Versi
9,48,9_bisa_tidak_dibuka_malah,"['bisa', 'tidak', 'dibuka', 'malah', 'buka', 'kenapa', 'kok', 'ya', 'daftar', 'download']","['kenapa indomaret poinku tidak bisa dibuka mau dibuka hilang dibuka hilang lagi kenapa ya sampai saya download klik indomaret', 'kok klik saya tidak bisa di buka di hapus di download juga tidak bisa kenapa', 'kenapa ya tidak bisa buka aplikasi padahal sudah di update tetap tidak bisa dibuka']",Bisa Tidak Dibuka
10,43,10_lambat_instagram_lebih_agak,"['lambat', 'instagram', 'lebih', 'agak', 'membingungkan', 'responsif', 'live', 'berat', 'aplikasi', 'cepat']","['lambat', 'lambat', 'lambat']",Lambat Instagram Lebih
11,38,11_eror_sering_terlalu_update,"['eror', 'sering', 'terlalu', 'update', 'keseringan', 'aplikasi', 'banget', 'out', 'aplikasinya', 'di']","['sering eror aplikasi nya', 'aplikasi sering eror', 'aplikasi sering eror']",Eror Sering Terlalu
12,31,12_lelet_banget_lambat_parah,"['lelet', 'banget', 'lambat', 'parah', 'delay', 'aplikasinya', 'parahhh', 'allah', 'kesel', 'gara']","['aplikasinya lambat banget ya allah sampai kesel menunggu loading setiap memasuki produk ke keranjang mesti nge freeze dulu dibanding toko merah memang lebih murah berapa produknya tapi aplikasinya tidak banget mohon segera di update sistemnya supaya customer nyaman', 'aplikasi lelet banget', 'lambat banget aplikasinya']",Lelet Banget Lambat
13,30,13_update_dikit_mulu_meminta,"['update', 'dikit', 'mulu', 'meminta', 'buat', 'tiap', 'makin', 'kebanyakan', 'error', 'berat']","['dikit dikit update mulu sekarang', 'meminta di update mulu buat malas saja', 'kebanyakan update sering banget habis di update meminta update lagi']",Update Dikit Mulu
14,27,14_rokok_bisa_enggak_input,"['rokok', 'bisa', 'enggak', 'input', 'tidak', 'min', 'bisa2', 'jual', 'produk', 'voucher']","['saran kasih produk beras gas 3kg itu haruz tetap ready bukannya makan saja di jual min masak iya itu itu saja di beli', 'sudah tidak bisa beli rokok', 'enggak ada tempat scanbarcode untuk produk rokok dan produk lain yang tidak tampil di aplikasi seperti di aplikasi toko sebelah']",Rokok Bisa Enggak
