topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Di Dan Bisa,positif,Pengalaman Pengguna,Aplikasi memudahkan akses nilai dan proses perkuliahan,POSITIVE_FEEDBACK,711,56.52,4.74,812,"di, dan, bisa, aplikasi, tidak, saya, edlink, ini, yang, sangat","Aplikasi nya bagus dan memudahkan untuk pengecekan nilai | Aplikasinya bagus nih sangat membantu dalam pembelajaran online, mudah lg digunakan. | Terimakasih kk aplikasi nya sangat membantu dalam proses perkuliahan"
2,Good Nice Very,positif,Kepuasan Pengguna,Ulasan positif singkat dalam bahasa Inggris,POSITIVE_FEEDBACK,72,5.72,4.9,0,"good, nice, very, and, excellence, comment, no, 100, like, sukses",good | Good | Good
1,Mantap Mantab Bajotz,positif,Kepuasan Pengguna,Ulasan positif singkat mengenai kualitas aplikasi,POSITIVE_FEEDBACK,72,5.72,4.96,2,"mantap, mantab, bajotz, euy, terbaikkkk, الحمد, luarbiasa, slur, mantaaaaapppppp, mantabbbb",mantap | Mantap | Mantap
3,Mantul Gud 1000,positif,Kepuasan Pengguna,Ulasan positif menggunakan emoji dan kata pujian,POSITIVE_FEEDBACK,57,4.53,4.81,0,"mantul, gud, 1000, great, kulia, baii, daebak, manwa, mantulpis, joob",👍👍👍👍 | 👍 | 😍
4,Suka Lumayan Aman,positif,Pengalaman Pengguna,Pengguna merasa puas dan terbantu dengan aplikasi,POSITIVE_FEEDBACK,51,4.05,4.84,2,"suka, lumayan, aman, memudahkan, itu, memuaskan, menyenangkan, menarik, cinta, luas",cocok | Membantu | Menyenangkan
5,Bagus Baunaget ,positif,Kepuasan Pengguna,Ulasan positif singkat mengenai kualitas aplikasi,POSITIVE_FEEDBACK,50,3.97,4.9,2,"bagus, baunaget, , , , , , , , ",bagus | Bagus. | Bagus
6,Ok  ,positif,Kepuasan Pengguna,Ulasan positif singkat,POSITIVE_FEEDBACK,37,2.94,4.86,0,"ok, , , , , , , , , ",ok | ok | ok
7,Membantu Sangat Mwmbantu,positif,Pengalaman Pengguna,Aplikasi sangat membantu kegiatan akademik,POSITIVE_FEEDBACK,35,2.78,4.89,1,"membantu, sangat, mwmbantu, sungguh, akademik, pelajaran, cukup, kami, keren, saya",sangat membantu | sangat membantu | Sangat membantu
8,Keren Luar Biasa,positif,Kepuasan Pengguna,Ulasan positif mengenai kualitas aplikasi,POSITIVE_FEEDBACK,33,2.62,4.94,0,"keren, luar, biasa, amazing, hebat, wow, bangus, cakep, masyaallah, uin",keren | keren | keren
9,Bagus Sejauh Ini,positif,Kepuasan Pengguna,Ulasan positif singkat,POSITIVE_FEEDBACK,27,2.15,4.89,0,"bagus, sejauh, ini, , , , , , , ",bagus | bagus | Bagus
10,Baik Insyaallah Lebih,positif,Ulasan Positif Pengguna,Pengguna memberikan apresiasi positif secara umum,POSITIVE_FEEDBACK,24,1.91,4.88,1,"baik, insyaallah, lebih, , , , , , , ",baik | baik | baik
11,Bagus Sangat Wow,positif,Ulasan Positif Pengguna,Aplikasi dinilai sangat membantu kegiatan pembelajaran,POSITIVE_FEEDBACK,23,1.83,4.91,0,"bagus, sangat, wow, cocok, cukup, membantu, dan, , , ",sangat bagus | sangat bagus | Sangat bagus
12,Terbaik Best The,positif,Ulasan Positif Pengguna,Aplikasi dinilai memiliki kualitas terbaik dan profesional,POSITIVE_FEEDBACK,17,1.35,4.94,0,"terbaik, best, the, top, toplah, profesional, excellent, aplikasi, , ",Terbaik | Terbaik | Terbaik
13,Oke Okee Okey,positif,Ulasan Positif Pengguna,Pengguna memberikan respon positif singkat terhadap aplikasi,POSITIVE_FEEDBACK,17,1.35,4.94,0,"oke, okee, okey, edlink, , , , , , ",oke | Oke | Oke
14,Baik Sangat Beri,positif,Ulasan Positif Pengguna,Pengguna memberikan penilaian positif terhadap performa aplikasi,POSITIVE_FEEDBACK,15,1.19,4.87,0,"baik, sangat, beri, cukup, nilai, saya, , , , ",Sangat baik | sangat baik | Sangat baik
15,Good Is For,positif,Ulasan Positif Pengguna,Pengguna memberikan apresiasi positif dalam bahasa Inggris,POSITIVE_FEEDBACK,13,1.03,4.85,1,"good, is, for, use, aplikasi, aplikations, luck, go, now, tanks",Good App | good app | Good app...
-1,Niceeeee Gooooodddd Take,positif,Lain-lain / Noise,Ulasan umum/noise,OVERALL_SATISFACTION,4,0.32,4.5,1,"niceeeee, gooooodddd, take, gooooooooooooooooood, uuuu, easy, itu, , , ",uuuu niceeeee | GOOOOOOOOOOOOOOOOOOD | Gooooodddd😘👍
