Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,2,-1_bapuk_promosinya_banyak_aplikasi,"['bapuk', 'promosinya', 'banyak', 'aplikasi', '', '', '', '', '', '']","['lebih mudah aplikasi yang dulu bisa memilih toko indomaretnya didaerah terdekat rumah yang ini tidak bisa pilih toko sudah 2x pesan antar ke rumah ditunggu kirimannya seharian malah dicancel seenaknya padahal lagi butuh barang itu alasan cancel barangnya habis tapi kenapa tidak dari awal saja di cancelnya ini sudah seharian menunggu baru di cancel kalau stok habis harusnya barang tidak bisa dipesan dong', 'tolong aplikasi nya lebih ditingkatkan lagi untuk item yang kosong di toko tidak ada stok nya tolong di buat keterangan stok kosong atau tidak bisa di pesan saya sering pesan food di aplikasi ini tapi untuk beberapa item yang stok barang nya kosong di toko tapi di aplikasi bisa di checkout ketika pesanan di konfirmasi sering sekali pesanan saya di cancel atau dikembalikan berupa uang sesuai dengan barang yang saya beli terkadang kembalian uang nya juga sering kurang', 'dulu aman2 saja order di klik indomart sangat membantu ketika mau belanja tapi lagi tidak bisa keluar tapi bulan2 terakhir ini susaaah sekali sudah beres klik belanjaan tiap mau bayar semua metode pembayaran tidak di bisa diklik halaman pembayaran bisa di scroll atas bawah tapi tiap pilih metode pembayaran sudah diklik berkali kali gopay lah cod lah transfer bank lah tidak bisa semua dong sudah berapa kali karena hal ini jadi batal belanja di klik indomart']",Bapuk Promosinya Banyak
0,57,0_tebus_murah_murahnya_new,"['tebus', 'murah', 'murahnya', 'new', 'versi', 'baru', 'jadi', 'ada', 'sekarang', 'dulu']","['lebih bagus aplikasi yang dulu karena bisa tebus murah langsung dari aplikasi sekarang kalau mau tebus murah harus belanja ke toko dulu', 'yang versi baru kok bingung ya kalau yang lama belanja langsung muncul tebus murah di bawah nya yang sekarang malah tidak muncul tebus murahnya tolong di perbaiki lagi', 'setelah di update jadi new klik indomaret kenapa jadi tidak bisa tebus murah ya biasanya ada opsen tebus murah tapi sekarang hilang setelah di update']",Tebus Murah Murahnya
1,43,1_susah_mau_banget_ampun,"['susah', 'mau', 'banget', 'ampun', 'saja', 'keranjang', 'alamat', 'susahnya', 'kakak', 'daftar']","['ngebug parah kesel banget mau daftar saja susahnya meminta ampun', 'buruk banget mau daftar member saja susah banget', 'ribet dipersulit banget banyak ini itu mau daftar saja susah banget']",Susah Mau Banget
2,39,2_perbaiki_tolong_diperbaiki_bug,"['perbaiki', 'tolong', 'diperbaiki', 'bug', 'lambat', 'mohon', 'aplikasinya', 'nge', 'lag', 'segini']","['tolong diperbaiki lagi sering nge bug padahal jaringan internet kencang', 'lambat banget tolong diperbaiki ya', 'tolong diperbaiki kembali aplikasi nya soalnya aplikasi yang sekarang sering lambat padahal jaringan internet aman aman saja terimakasih']",Perbaiki Tolong Diperbaiki
3,43,3_jam_sampai_00_belum,"['jam', 'sampai', '00', 'belum', 'pesan', '11', 'siang', 'pagi', 'dari', 'anter']","['pertama kali pesan pakai klik indomaret lama sekali pesan jam 9 28 waktu pengiriman maksimal jam 10 59 sampai sekarang jam 14 12 belum di antar juga ajukan komplein respon nya juga lama saya keburu dehidrasi kapok deh mending alfagift saja', 'barang nya sampai tapi saya pesan dari jam 18 00 baru datang jam 21 30 itupun yang nganter grab janji nya satu jam sampai dikirim nya dari idm jauh banget lagi kenapa begitu tidak memilih idm yang terdekat dari lokasi saya uninstall', 'pesan jam 9 pagi estimasi dikirim 10 11 pagi sampai jam 17 23 belum juga sampai lokasi tokonya kurang dari 2km sudah cek status berkala akan dikirimkan terus dari jam 10 an belum berubah ajukan komplain pembatalan responnya lambat']",Jam Sampai 00
4,35,4_lambat_agak_cepat_bngtya,"['lambat', 'agak', 'cepat', 'bngtya', 'buang2', 'kasik', 'kenpa', 'tebaru', 'vb', 'unstable']","['lambat', 'lambat', 'lambat']",Lambat Agak Cepat
5,32,5_beli_aku_atau_kasir,"['beli', 'aku', 'atau', 'kasir', 'harga', 'barang', 'order', 'di', 'indomaret', 'habis']","['tolong bagian packing pisahkan makanan dengan sabun atau detergent jangan dicampur semua jadi 1 kalaupun tidak ada kardus letakkan sabun² atau detergent di bagian bawah dipisahkan dengan kertas atau plastik bekas dengan makanan atau minuman di bagian atas saya langganan klik tapi setiap order pasti selalu begitu kesannya terburu buru packing bahkan pernah saya order biskuit diletakkan dibagian bawah dan ketimpa sama hit spray besar dan botol² detergent sampai rumah jadi hancur biskuit²ny', 'baru kali ini pakai klik harga di klik sama toko beda di klik promo tapi di toko harga normal padahal awal-awal dulu selalu sama antara harga klik dan toko sampai kemarin eyel2lan sama kasir saran saja kalau bisa untuk harga di klik sama toko disamain saja kalau di klik promo ya di toko juga promo lucunya lagi kemarin jawaban staff begini oohh kalau di klik itu promo non member lah kalau harganya lebih murah non member mending tidak jadi member kan', 'tolong ya indomaret sesuaikan sama karyawan anda saya baru pertama order beli galon 8 eh kok bisa kukira di anter pakai motor roda 3 atau truk atau apa ya soalnya bisa saja gln 8kalo di toko sebelah kan tidak bisa eh taunya sama mtor saya kasihan sama krywan klean harus bolak balik nganter aplg rumah saya cukup jauh jadi gaenak sama abangnya contoh toko sebelah mereka pesan antar bisanya cuma 2 gln memang kapasitas pengiriman pakai motor bisanya cuma 2 jangan cuma untung saja yang di pikir kryawan klean kasihan']",Beli Aku Atau
6,19,6_malas_harbolnas_buat_aplikasinya,"['malas', 'harbolnas', 'buat', 'aplikasinya', 'kalau', 'suka', 'jadi', 'komen', 'belanja', 'mau']","['berat aplikasinya buat buka tiap halaman loadingnya ampuuuuuun luama pol aplikasi belanja sih merah dkk tidak gini2 amat deh mau cari belanja yang praktis malah wasting time yuk diperbaiki lagi sistemnya', 'parah lemotnya sudah banyak yang nginfo kalau aplikasinya lambat tapi enggak ada perbaikan apa itnya tidak secanggih toko sebelah atau komen-komen disini tidak pernah kebaca sama management indomart ya promo2nya sih oke tapi kalau aplikasinya buat emosi mah jadi terbawa malas ya benar-benar kudu banyak istighfar kalau mau blanja lewat klik', 'aplikasinya kurang worth itu masak 1bln sekali disuruh update aplikasi kalo tidak diupdate tidak bisa dibuka jujur buat yang memory internalnya terbatas aplikasinya merepotkan banget sih tapi selebihnya untuk promo barangnya ok banget tolong deh jangan sering-sering suruh update dijam2 rawan juga jangan sering bug susah dibuka hari ini mau dipakai dari jam 12 siang tadi bug terus tidak bisa buka aplikasinya']",Malas Harbolnas Buat
7,25,7_lengkap_barang_kadang_stok,"['lengkap', 'barang', 'kadang', 'stok', 'semua', 'pencarian', 'ditemukan', 'adanya', 'tidak', 'barangnya']","['barangnya sudah dipesen malah tidak diantar alesan nya harganya belum update', 'barang kadang ada yang tidak lengkap kurang dicek sebelum dikirim', 'pencarian barangnya lama apalagi saat meminta otp untuk pembayaran pakai ewalet']",Lengkap Barang Kadang
8,21,8_ongkir_gratis_ongkirnya_minimal,"['ongkir', 'gratis', 'ongkirnya', 'minimal', 'free', 'merah', 'kena', 'hiks', 'pegang', 'mahal']","['tidak gratis ongkir saja', 'selalu kalah satu langkah sama sih merah sih merah gratis ongkir tanpa minimal belanja disini harus belanja minimal 30 000 untuk menikmati gratis ongkir', 'belanja apa saja tanpa min mengira gratis ongkir ternyata pakai ongkir kalau toko merah gratis ongkir tanpa min belanja']",Ongkir Gratis Ongkirnya
