Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,76,-1_sippp_baik_cool_mantappppp,"['sippp', 'baik', 'cool', 'mantappppp', 'perfect', '𝑐𝑒𝑝𝑎𝑡', 'approved', 'gacor', '𝑑𝑎𝑛', '𝑠𝑎𝑛𝑔𝑎𝑡']","['sippp', '𝑟𝑒𝑠𝑝𝑜𝑛 𝑑𝑟 𝑑𝑜𝑘 𝑠𝑝𝑒𝑐𝑖𝑎𝑙𝑖𝑠 𝑠𝑎𝑛𝑔𝑎𝑡 𝑟𝑎𝑚𝑎ℎ 𝑑𝑎𝑛 𝑐𝑒𝑝𝑎𝑡', '𝑃𝑒𝑙𝑎𝑦𝑎𝑛𝑎𝑛𝑛𝑦𝑎 𝑠𝑎𝑛𝑔𝑎𝑡 𝑏𝑎𝑖𝑘 𝑑𝑜𝑘𝑡𝑒𝑟𝑛𝑦𝑎 𝑟𝑎𝑚𝑎ℎ 𝑑𝑎𝑛 𝑐𝑒𝑝𝑎𝑡 𝑟𝑒𝑠𝑝𝑜𝑛']",Sippp Baik Cool
0,2775,0_membantu_sangat_sekali_bermanfaat,"['membantu', 'sangat', 'sekali', 'bermanfaat', 'banget', 'dan', 'bagus', 'cukup', 'terbantu', 'baik']","['sangat membantu', 'sangat membantu', 'sangat membantu']",Membantu Sangat Sekali
1,2228,1_good_ok_bagus_oke,"['good', 'ok', 'bagus', 'oke', 'terbaik', 'best', 'baik', 'nice', 'top', 'job']","['good', 'good', 'good']",Good Ok Bagus
2,1395,2_konsultasi_untuk_ke_tidak,"['konsultasi', 'untuk', 'ke', 'tidak', 'saat', 'membantu', 'rumah', 'sakit', 'bisa', 'yang']","['aplikasi yang saya membantu saat kita sakit atau untuk konsultasi kesehatan sangat puas dengan aplikasi ini', 'aplikasi yang sangat membantu pada saat keadaan darurat sakit dan tidak bisa ke rumah sakit', 'memudahkan kami jika dalam kondisi sakit atau darurat untuk konsultasi ke dokter spesialis tanpa harus keluar rumah terima kasih']",Konsultasi Untuk Ke
3,1302,3_mantap_banget_keren_bagus,"['mantap', 'banget', 'keren', 'bagus', 'mantab', 'puas', 'memuaskan', 'sat', 'set', 'pokoknya']","['mantap', 'bagus mantap', 'bagus dan mantap banget']",Mantap Banget Keren
4,1279,4_dokternya_ramah_dokter_baik,"['dokternya', 'ramah', 'dokter', 'baik', 'dan', 'respon', 'nya', 'fast', 'penjelasan', 'juga']","['dokternya ramah dan sangat membantu', 'dokternya ramah dan baik', 'dokternya baik dan ramah']",Dokternya Ramah Dokter
5,902,5_halodoc_dokter_kasih_terima,"['halodoc', 'dokter', 'kasih', 'terima', 'terimakasih', 'yang', 'dan', 'dengan', 'konsultasi', 'dok']","['aplikasi yang sangat membantu dan dokternya sangat ramah terimakasih halodoc', 'respon dokter sangat cepat menjawab dengan ramah dan baik semoga saya segera sembuh dan obatnya cocok terima kasih dokter di halodoc aplikasi ini sangat-sangat membantu alhamdulillah', 'sangat membantu untuk konsultasi dengan dokter terima kasih halodoc']",Halodoc Dokter Kasih
6,732,6_cepat_respon_pengiriman_tanggap,"['cepat', 'respon', 'pengiriman', 'tanggap', 'responnya', 'dan', 'tepat', 'obat', 'baik', 'nya']","['respon sangat cepat', 'respon cepat dan pengiriman juga cepat', 'respon cepat dan pengiriman juga cepat']",Cepat Respon Pengiriman
7,432,7_pelayanan_pelayanannya_ramah_bagus,"['pelayanan', 'pelayanannya', 'ramah', 'bagus', 'cepat', 'baik', 'dan', 'memuaskan', 'nya', 'layanan']","['pelayanan bagus dan cepat', 'pelayanan bagus dan cepat', 'pelayanan bagus dan cepat']",Pelayanan Pelayanannya Ramah
8,350,8_halodoc_kasih_terima_terimakasih,"['halodoc', 'kasih', 'terima', 'terimakasih', 'aplikasi', 'sekali', 'trimakasih', 'ini', 'sangat', 'membantu']","['halodoc sangat membantu', 'halodoc sangat membantu', 'halodoc sangat membantu']",Halodoc Kasih Terima
