Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,76,-1_sippp_cool_mantappppp_approved,"['sippp', 'cool', 'mantappppp', 'approved', 'perfect', '𝑐𝑒𝑝𝑎𝑡', 'gacor', '𝑟𝑎𝑚𝑎ℎ', '𝑑𝑎𝑛', '𝑠𝑎𝑛𝑔𝑎𝑡']","['respon yang baik dan cepat', 'respon cepat dan sangat membantu terima kasih halodoc', 'dokternya ramah baik']",Sippp Cool Mantappppp
0,1328,0_membantu_sangat_buibu_excellent,"['membantu', 'sangat', 'buibu', 'excellent', 'informatif', 'responsif', '', '', '', '']","['sangat membantu', 'sangat membantu', 'sangat membantu']",Membantu Sangat Buibu
1,239,1_ok_muanya_oc_sip,"['ok', 'muanya', 'oc', 'sip', 'anaknya', 'sementara', 'next', 'pokok', '2x', 'semua']","['ok', 'ok ok ok', 'ok ok ok']",Ok Muanya Oc
2,220,2_dok_halo_terima_kasih,"['dok', 'halo', 'terima', 'kasih', 'doc', 'terimakasih', 'atas', 'dokter', 'ramah', 'responsif']","['sangat membantu terima kasih dok', 'dokter ramah terima kasih ya dok', 'dokternya ramah terima kasih dok']",Dok Halo Terima
3,207,3_pengiriman_pesanan_barang_sampai,"['pengiriman', 'pesanan', 'barang', 'sampai', 'cepat', 'sesuai', 'tepat', 'pengantaran', 'kurir', 'pengirimannya']","['respon cepat dan pengiriman juga cepat', 'respon cepat dan pengiriman juga cepat', 'dokter cepat pengiriman obat cepat']",Pengiriman Pesanan Barang
4,160,4_halodoc_sukses_terimakasih_terima,"['halodoc', 'sukses', 'terimakasih', 'terima', 'kasih', 'selalu', 'beliau', 'sudah', 'dengan', 'ramah']","['ini keren sih terlebih dari rizka husna aditya hami sapa pada penyakit dalam penjelasan nya bener² dipahami dan positif sekali terimakasih halodoc terimakasih dokter rizka', 'konsultasi dengan dokter devia khoerunnisa tentang adek yang tb tb tidak mau dbf dijelaskan detail banget sama beliau sukses terus halodoc terimakasih sudah membantu dan mempermudah kami', 'aplikasi bermafaat banget lagi dimana saja bisa dadakan konsultasi dengan dokter ahli apalagi dokter umum nya tadi baik banget atas nama jihan faqih terima kasih banyak halodoc dan dari jihan faqih sukses selalu']",Halodoc Sukses Terimakasih
5,194,5_kesehatan_masalah_dalam_untuk,"['kesehatan', 'masalah', 'dalam', 'untuk', 'pengobatan', 'hal', 'seputar', 'tubuh', 'mencari', 'kebutuhan']","['sangat membantu buat konsultasi kesehatan', 'sangat membantu sih untuk konsultasi masalah kesehatan', 'sangat membantu sekali untuk konsultasi soal kesehatan']",Kesehatan Masalah Dalam
6,133,6_baik_pelayannanya_layanan_bincang,"['baik', 'pelayannanya', 'layanan', 'bincang', 'chttnya', 'fastrest', 'baiiiikk', 'berbincang', 'txs', 'kendalanya']","['baik lancar', 'baik pelayannanya', 'txs baik']",Baik Pelayannanya Layanan
7,167,7_darurat_disaat_mendesak_genting,"['darurat', 'disaat', 'mendesak', 'genting', 'keadaan', 'kondisi', 'saat', 'kepepet', 'dalam', 'mendadak']","['sangat membantu dalam keadaan darurat', 'sedikit lebih membantu ketika keadaan darurat', 'sangat membantu dalam keadaan darurat']",Darurat Disaat Mendesak
8,214,8_dimana_dengan_konsultasi_berkonsultasi,"['dimana', 'dengan', 'konsultasi', 'berkonsultasi', 'kapan', 'spesialis', 'saja', 'online', 'ahli', 'dokter']","['memudahkan konsultasi dengan dokter spesialis', 'sangat membantu konsultasi dengan dokter spesialis', 'cukup membantu saya agar tetap bisa konsultasi dengan dokter spesialis']",Dimana Dengan Konsultasi
9,172,9_antri_repot_perlu_tanpa,"['antri', 'repot', 'perlu', 'tanpa', 'mengantri', 'harus', 'rumah', 'rs', 'keluar', 'berobat']","['sangan membantu dan tidak usah antri di klinik atau rumah sakit', 'membantu sekali tanpa harus antri ke rumah sakit', 'ke dokter tanpa perlu antri']",Antri Repot Perlu
10,104,10_mumtaz_memuskan_naise_guud,"['mumtaz', 'memuskan', 'naise', 'guud', 'mamtul', 'jhoz', 'welldone', 'ol', 'rea', 'jawabanya']","['rea', 'mumtaz', 'mumtaz']",Mumtaz Memuskan Naise
11,151,11_klinik_ke_rs_pergi,"['klinik', 'ke', 'rs', 'pergi', 'sakit', 'tidak', 'ketika', 'atau', 'rumah', 'bisa']","['sangat membantu ketika tidak bisa pergi ke tempat dokter umum setempat', 'sangat membantu untuk yang tidak bisa pergi ke dokter', 'sangat membantu ketika tidak bisa pergi ke rumah sakit ataupun klinik']",Klinik Ke Rs
12,99,12_bermanfaat_insyaaallah_snggat_memadai,"['bermanfaat', 'insyaaallah', 'snggat', 'memadai', 'bermaanfaat', 'bermanpaat', 'modal', 'sangat', 'kalah', 'bermamfaat']","['sangat bermanfaat', 'sangat bermanfaat', 'sangat bermanfaat']",Bermanfaat Insyaaallah Snggat
