topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Saya Tidak Di,negatif,Layanan Konsultasi Medis,Kegagalan akses ruang chat setelah pembayaran berhasil,CONSULTATION_ERROR,552,36.13,1.15,1434,"saya, tidak, di, dokter, sudah, yang, dan, konsultasi, ada, tapi","pas udh bayar baru ada pemberitahuan dokternya sibuk, trs ga bisa di chat tp uangnya tidak kembali, ini gimana pihak halodoc saya rugi, saya mau konsul tiba"" rugi gini | Mau beli obat flu sudah bayar chat dokter, sudah pula uang ditransfer via virtual account bca, pesanan batal uang katanya blm diterima padahal jelas dimutasi sdh terdebit Jauuuh lebih mudah beli obat pake grab Ribet Mahal dan mengecewakan Sudah kirim email screen capture bukti pembayaran dan telpon ke cs nya disuruh tunggu 24 jam ... lah lebih cepet saya beli sendiri ke apotek besok toh saya sendiri juga dokter, tapi karena malam hari jam setengah 8 pm maka saya pesan di halodoc... | Aplikasi nya jelek, saya mau konsul ke dr. Urologi. Pas saya bayar dokter nya masih online, setelah saya bayar dan mau masuk ke room konsultasinya gak bisa. Beberapa menit kemudian baru bisa masuk, tpi sesi konsultasi sudah diakhiri. Dan dokternya langsung offline Saya sudah buat laporan beberapa hari yg lalu tpi sampe skrg tidak ada penyelesaian, adminnya bertele tele Setelah saya liat ulasan disini ternyta banyak mengalami hal yg sama. aplikasi pemberi layanan kesehatan kok jdi penipuan"
1,Aplikasi Saldo Banget,negatif,Layanan Konsultasi Medis,Saldo terpotong namun sesi chat tidak tersedia,PAYMENT_ISSUE,152,9.95,1.12,139,"aplikasi, saldo, banget, mau, tidak, sudah, ke, lagi, bisa, ribet","apaan apk ga jelas udh byr ,buat nanya dokter bayr doang ga ada sesi chat nya ,rugi lah,mlh suruh byr lagi anehh | jangan download aplikasi ini. ngaco bgt, mau konsul udh tahap pembayaran trnyata dokternya sibuk, di chat ga bisa. TAPI SALDO UDAH KEPOTONG. apa2an si kaya gitu aplikasi gak guna. smoga bangkrut!! | Udah bayar giliran mau chat dokter gak bisa , aplikasi nya bikin rugi custumer..."
2,Hp Aplikasi Bisa,negatif,Teknis Aplikasi,Bug aplikasi dan kendala akses fitur utama,APP_PERFORMANCE,117,7.66,1.21,274,"hp, aplikasi, bisa, login, mau, buka, kenapa, tidak, ini, terus",aplikasi ga guna order dokter nya malah gbs connect ke chat room nyaa nyesel bet gw download | cacat kakean bug tidak bisa unduh pdf lampiran gak bisa di buka internet kenceng malah apknya gajelas | apk nya jelek gak bisa daftar akunn apk busugg
3,Obat Hari Sampai,negatif,Layanan Pembelian Obat,Keterlambatan pengiriman obat instan dan kendala pembatalan,DELIVERY_ISSUE,105,6.87,1.04,103,"obat, hari, sampai, pesan, pengiriman, tidak, beli, di, sudah, lama","Saya pikir pesan obat instant lewat halodoc lebih cepet, tapi udah 1 jam lebih gk datang2 sesuai estimasi waktunya. Gak tau kendala di apotek apa drivernya. Sangat kecewa | Saya pesen obat udh 3 jam gk dtg2, pdhl pake yg instan... di btalin jugaa gk bs, mau komplain ribet bgt.... | Sangat payah,mau pesan ibat diarahkan chat dokter,setelah di room chat dr smp wkt habis blm ada respon dr,alhasil tdk bs beli obatnya,merepotkan dan menyusahkan konsumen"
4,Buruk Bagus Mantap,negatif,Pengalaman Pengguna,Ketidakpuasan umum terhadap kualitas layanan aplikasi,GENERAL_FEEDBACK,80,5.24,1.15,11,"buruk, bagus, mantap, bad, ribet, memuaskan, ruwet, membantu, susah, artis",Jelek | Jelek | Jelek
5,Respon Waktu Dokternya,negatif,Layanan Konsultasi Medis,Respon dokter lambat dan durasi konsultasi tidak efektif,DOCTOR_RESPONSE,63,4.12,1.17,29,"respon, waktu, dokternya, slow, habis, dokter, konsultasi, balas, lama, sangat","Bayar mahal2 dokter balasnya slow respon sekali sangat lama balas chat, sehingga waktu terbuang sia2 untuk konsultasi | kurang membantu, dokternya slow respon sementara waktu yang di berikan hanya sebentar, waktu habis di pake nunggu respon dokternya aja, hadeh buang² duit aja tau gitu konsul di offline langsung nunggu lama juga dpt hasil😌 | koneksi sangat buruk, chat terbaca dokternya sangat lama. Respon dokter lambat dan sangat singkat. Buang2 uang, sama aja tanya ke chat gpt. Konsultasi terburuk selama pakai halo doc."
6,Obat Tersedia Resep,negatif,Layanan Pembelian Obat,Ketersediaan obat terbatas di apotek mitra,MEDICINE_AVAILABILITY,54,3.53,1.26,32,"obat, tersedia, resep, apotik, apotek, yang, di, tidak, diresepkan, ada","Saya pakai ini, tapi baru kali ini kecewa karena obatnya ga tersedia di kota saya. Untuk dokter bisa tolong merekomendasikan obat sesuai ketersediaan obat di lokasi pasien. Sudah sakit obat tidak tersedia kan kesal. Mana klo Konsul lagi bayar lagi. Hmmm.. | TIDAK BERGUNA. TIDAK BISA BELI OBAT DENGAN ALASAN APOTIK TUTUP PADAHAL ADA APOTEK 24JAM SEKITAR SINI. BUAT APA KONSULTASI KE DOKTER DAN DIBERI RESEP DOKTER TAPI OBATNYA BARU DATANG BESOK! BUTUH SEKARANG DISURUH NUNGGU SAMPE BESOK! | kecewa, pesan obat ga ada di apotik sekitar,nunggu 3 hri baru sampe, keburu sakit orangnya.. harusnya banyakin kerjasama dg provider apotik"
7,Doc Halo Customer,negatif,Layanan Pelanggan,Layanan pelanggan tidak responsif dan sistem bot,CUSTOMER_SERVICE,43,2.81,1.07,73,"doc, halo, customer, dan, tidak, dengan, konsultasi, pelayanan, respon, telat","Riwayat transaksi & konsultasi hilang sendiri. Belum ada solusi dan respon lanjutan. Cukup kecewa dengan pelayanan nya. Coba hubungi via chat, tidak ada pilihan live chat dgn staff CS nya. | kalau dokter nggak balas lama nggak ada kompensasi, tapi cust cuma dikasih 10 menit nggak balas langsung hangus. sistem tidak ramah customer🙏🏻 | Jelek banget, pelayanan lama, CUSTOMER SERVICE CUMA BOT. jawaban template, ga membantu sama sekali."
8,Sudah Kurir Tidak,negatif,Layanan Pembelian Obat,Masalah sistem pembayaran dan kendala kurir pengiriman,DELIVERY_ISSUE,43,2.81,1.14,144,"sudah, kurir, tidak, banget, dibatalin, marah, bisa, lagi, padahal, juga","Pengiriman ga jelas, sblmnya udah dalam perjalanan eh skrg dibuka balik lagi keawal baru terkonfirmasi,pdhal urgent bgt obatnya dibatalin ga bisa,sial bgt | Pengiriman instan, tulisannya doang 1 jam sampe. ud bayar 22rb tp giliran butuh urgent, drivernya ga bagus.. bukan gojek/grab. Mending dihapus aja opsi instannya. Mau komplain jg ga ada yg layanin., suru telp atau tanya ke drivernya.. eh nomor drivernya fiktif.. ga aktif. SURAM | sudah cekout obatnya, berkali-kali bayar berkali-kali gagal sekalinya bisa malahan lama banget nyampe nya, namun pas di history pesanan tidak muncul? firstime lho pengguna baru tp mlh dibikin ribet bgt ky gni, klau org nya btuh obat asma tp ga nyampe²keburu kolaps dluan orang yg pny skt asma, cepet segera diperbaiki dh termasuk di sistem pembayaran sm pengirimannya lama banget prosesnya"
9,Metode Pembayaran Via,negatif,Sistem Pembayaran,Opsi metode pembayaran yang terbatas,PAYMENT_ISSUE,30,1.96,1.27,55,"metode, pembayaran, via, pakai, transfer, bank, tolong, bisa, linkaja, gopay","Kecewa banget, masa g ada metode pembayaran lain selain 4 itu... Tolong dong adain metode virtual account (va) apa kek terserah jadi bisa semua lapisan bisa pakek. Mau top-up dan terima layanan susah banget 😭 | Pembayaran ribet ga bisa langsung isi saldo harus via linkaja, gopay | Metode pembayaranya kirang lengkap ngga ada pilihan buat pake mbanking"
10,Kode Daftar Alamat,negatif,Registrasi dan Akun,Kode verifikasi tidak muncul saat pendaftaran akun,REGISTRATION_ISSUE,30,1.96,1.37,39,"kode, daftar, alamat, nomor, akun, ya, manual, bagaimana, kok, bisa","Ini kenapa ya ko saya mau daftar akun halodoc ga muncul kode Verifikasinya ya?? Padahal nomor dan kartu masih aktif dan masih saya pakai tetapi kode nya ga muncul terus ini gimana sih eror ya? | Ini ngisi saldo nya bgimana sih? Gak ada tutorial sama sekali. Gopay saya lg bermasalah, mau top up ke halodoc kok gak bisa. Tolong TUTORIAL nya, | Kenapa waktu mau buat akun disuruh masukin nomor telfon tapi ttp gabisa masuk ya kode verifikasinya"
11,Gratis Kira Doang,negatif,Informasi Layanan,Ketidakjelasan informasi biaya konsultasi dokter,PRICING_CLARITY,29,1.9,1.07,4,"gratis, kira, doang, kagak, tanya, ternyata, bayar, iklan, masa, cerita",Aku kira gratis klo buat konsul ternyata bayar ya 😂 | Katanya gratis ternyata tanya aja bayar | saya kira gratis ternyata bayar ya 😏 mhl jga
12,Ktp Harus Aneh,negatif,Informasi Layanan,Pengguna keberatan dengan biaya konsultasi dokter,PRICING_CLARITY,25,1.64,1.04,68,"ktp, harus, aneh, bayar, kenapa, dokter, saja, gratis, resep, verifikasi",Aneh mau konsultasi penyakit mala harus bayar.emangnya dokter di sini kurang gaji ya??? | Kecewa chat sama dokter aja harus bayar | Chat Dokter masa harus bayar sih?👀
13,Mahal Harga Ongkir,negatif,Pembelian Obat,Biaya pengiriman obat dianggap terlalu mahal,DELIVERY_COST,24,1.57,1.21,16,"mahal, harga, ongkir, ongkirnya, beli, yang, nya, kapitalis, tan, lebih","Error pas mau beli obat. Ongkirnya mahal. | Ongkir pesan obat makin mahal skrg 22rb ++ nya banyak jatuhnya 26rb mana lelet banget pengirimanya estimasi 1 jam bs ampe 2jam lebih.. | mahal harga nya, apalagi ongkir nya maha juga"
14,Saldo Kembalikan Dana,negatif,Pembayaran dan Refund,Kendala pengembalian dana transaksi gagal,REFUND_ISSUE,24,1.57,1.08,73,"saldo, kembalikan, dana, terpotong, saya, transaksi, gagal, uang, dan, hilang","aplikasi terparah, obat saya sudah hampir tiga minggu tidak sampai, pas mengajukan pengembalian dana malah di suruh bolak balik confirm ke email dan wa kayak ngomong ama robot, saya mohon kembalikan uang saya.. | Uang saya belum di kembaliin ke aplikasi dana kecewa bgt beli obat udah bayar tiba tiba uangnya di kembalii. Tapi sampai detik ini ga ada tidaklajutan balikian duit saya | Saya merasa di tipu sudah melakukan transaksinya ,akan tetapi pada saat saya konsul keterlambatan 10menit tidak bisa kembalikan dan tidak ada pengingat dana di kembalikan"
15,Bisa Log Iklan,negatif,Promosi dan Voucher,Voucher promo tidak dapat digunakan saat transaksi,PROMO_ISSUE,22,1.44,1.05,5,"bisa, log, iklan, tidak, menyambungkan, tipu, dipakai, promo, di, daftar","vouchernya gk bisa d pake. | Voucher tidak bisa dipakai | Tidak sesuai iklan,promo tapi tak bisa di gunakan"
16,Error Mulu Gagal,negatif,Stabilitas Aplikasi,Aplikasi sering mengalami error saat transaksi,PERFORMANCE_BUG,19,1.24,1.26,1,"error, mulu, gagal, upload, apalah, sistemnya, eror, pembayaran, transaksi, berandanya","error terus gagal pembelian | Saldo kok bisa hilang, | aplikasi sering eror"
17,Pengiriman Sesuai Lambat,negatif,Pengiriman Obat,Pengiriman obat lambat dan tidak sesuai estimasi,DELIVERY_DELAY,18,1.18,1.22,16,"pengiriman, sesuai, lambat, tercover, gambar, barang, hari, di, tidak, obat","Tidak profesional. Pengiriman lama. Barang dibetalase ada, tapi ternyata tidak ada | pengiriman obat tidak sesuai estimasi | Pengiriman lambat 5 hari paket gak datang datang"
19,Janji Juni Lwat,negatif,Stabilitas Aplikasi,Aplikasi lambat dan error setelah pembaruan,PERFORMANCE_BUG,11,0.72,1.09,26,"janji, juni, lwat, update, aplikasi, lambat, terus, jaringan, eror, gila",aplikasi sinyal kencang buka lama bngt | Aplikasi lemot banget setelah update 6 juni | setelah di update kok gak bisa melacak pengiriman secara realtime?
18,Pelayanan Buruk Sampai,negatif,Layanan Pelanggan,Kualitas pelayanan customer service buruk,CS_SERVICE_ISSUE,11,0.72,1.09,3,"pelayanan, buruk, sampai, kurir, sebagai, nya, telepon, cs, marah, malam",PELAYANAN CS SANGAT BURUK ! | Pelayanan kurang memuaskan | pelayanan buruk lamaaaaa
20,Nebus Apotik Borzo,negatif,Layanan Pembelian Obat,Kegagalan sistem dalam pemrosesan pesanan obat,ORDER_FAILURE,11,0.72,1.18,7,"nebus, apotik, borzo, malah, cxl, tutup, driver, obat, sulit, susah","Riweh, gak jelas, lama, udah di kasih resep obat tapi gak bisa nebus obatnya di aplikasi. 😤😤😤😤😤😤 | Mau nebus obat susah untuk daerah | Beli obat 2x lewat aplikasi dibatalkan terusss,bukannya mempermudah orang sakit malah mempersulit!! 👊👊👊🤬🤬"
21,Promo Voucher Berlaku,negatif,Promosi dan Voucher,Kode voucher tidak dapat digunakan atau tidak valid,PROMO_ISSUE,10,0.65,1.1,50,"promo, voucher, berlaku, kode, gojek, digunakan, pakai, dipakai, mengikuti, vocher","Punya voucher tapi tidak bisa dipake jadi percuma ,keterangan vocher tidak berlaku padahal ini voucher dari gojek gajelas halodog | Pake kode promo dari gojek swadaya eh pas di pake malah vocher tidak berlaku👎👎👎👎👎 ribet banget | Masa ga bisa pakai vouchrer dari gojek bilang nya kode promo sudag di hapus padahal baru dapet...dihh lucuu auto uninstal nih aplikasi"
22,Pengantaran Banget Sekarang,negatif,Layanan Pelanggan,Respon customer service lambat dan tidak solutif,CS_PERFORMANCE,9,0.59,1.33,1,"pengantaran, banget, sekarang, alur, jawab², oembayarannya, apasih, bermitra, pengantarnya, responsenya","kacau sekarang, lama banget ngirimnya, pas tanya cs, csnya tidur nggak jawab² | ALUR PEMBATALANNYA RIBET DAN LAMA BANGET RESPONSENYA | lamaa banget jawab pesannya udah dibayar"
25,Dibatalin Tiba² Butuh,negatif,Layanan Pembelian Obat,Pesanan obat dibatalkan otomatis tanpa notifikasi,ORDER_FAILURE,8,0.52,1.12,16,"dibatalin, tiba², butuh, dibatalkan, berhasil, aku, banget, pesanan, voucher, padahal","pesenan obat aku tiba tiba dibatalin dan gaada pemberitahuan notifikasi atau lainnya, padahal butuh banget obatnya tp tiba² dibatalin gajelas. | pesanan dibatalkan 5 kali padahal lagi butuh banget obat | Saya lagi butuh obat alergi kok pesanan dibatalin otomatis? Paraaaaaahhhg"
23,Cht Tolong Nya,negatif,Pengalaman Pengguna,Sistem chat dan alur pemesanan tidak efisien,UX_ISSUE,8,0.52,1.12,13,"cht, tolong, nya, lagi, diperbaiki, kembangkan, alarm, peganti, sruh, oun","tolong, app diperbaiki. kenapa harus bolak balik untuk pesan obat saja? ini makan waktu bgt. jelek sekali UX nyaa | Hanya karena telat masuk jam konsul ruang Chat langsung di tutup sepihak dengan dokter.nya.. aplikasi apa ini.. tolong dong di benahi lagi sistem.nya.. harus.nya ada alarm dari aplikasinya. Sudah Buang duit bikin emosi saja. | Pelayanan cht respon nya lamaa, keburu memakan waktu yg udh di tentukan udh hbis duluan, tolong ya hrs lebih di perhatiin lagii cara pelayanan cht nya"
