topic_id,business_category,sub_issue,ai_sentiment,total_comments,sum_reply_count,official_comments,user_comments,engagement_score
1,Pertanyaan Pendaftaran,Calon mahasiswa menanyakan jadwal dan prosedur pendaftaran.,Netral,841,1003,16,825,1.19
13,Pertanyaan Pendaftaran,Permintaan informasi mengenai tata cara pendaftaran.,Netral,90,100,2,88,1.11
12,Keluhan Pengalaman Belajar,Diskusi mengenai beban tugas kuliah dan kesulitan akademik.,Negatif,91,83,14,77,0.91
0,Pertanyaan Program Studi,Calon mahasiswa menanyakan ketersediaan jurusan S1 dan S2.,Netral,890,798,8,882,0.9
16,Informasi Metode Pembelajaran,Penjelasan mengenai sistem perkuliahan 100% full online learning.,Positif,67,57,52,15,0.85
26,Harapan Calon Mahasiswa,Ekspresi keinginan audiens untuk mendaftar di tahun depan.,Positif,17,13,0,17,0.76
4,Pertanyaan Akademik,Pertanyaan mengenai metode pelaksanaan ujian dan wisuda.,Netral,256,168,9,247,0.66
15,Pertanyaan Lokasi Kampus,Audiens menanyakan lokasi fisik kampus Universitas Siber Asia.,Netral,82,49,8,74,0.6
5,Pertanyaan Program Studi,Pertanyaan spesifik mengenai ketersediaan program S2.,Netral,240,108,1,239,0.45
22,Pertanyaan Biaya Kuliah,Audiens menanyakan informasi mengenai biaya pendaftaran atau kuliah.,Netral,22,10,0,22,0.45
27,Informasi Akreditasi,Penjelasan status akreditasi nasional BAN-PT dan internasional EAHEA.,Positif,13,5,7,6,0.38
10,Apresiasi Konten,Dukungan dan doa baik dari audiens untuk UNSIA.,Positif,128,47,38,90,0.37
14,Informasi Biaya Kuliah,Informasi mengenai biaya UKT per semester.,Positif,88,32,39,49,0.36
17,Informasi Program Studi,Daftar program studi yang tersedia di Universitas Siber Asia.,Netral,56,17,31,25,0.3
25,Dukungan Sosial,Pemberian semangat antar sesama pengguna di kolom komentar.,Positif,17,5,4,13,0.29
24,Interaksi Mahasiswa Baru,Sapaan santai antar sesama mahasiswa baru program studi.,Netral,17,5,0,17,0.29
7,Minat Pendaftaran,Audiens menyatakan ketertarikan untuk mendaftar kuliah.,Positif,192,43,9,183,0.22
-1,Lain-lain / Noise,Komentar umum/noise,Netral,40,9,0,40,0.22
28,Pertanyaan Biaya Kuliah,Diskusi mengenai nominal biaya pendidikan di Universitas Siber Asia.,Netral,12,2,0,12,0.17
2,Interaksi Umum,Respon konfirmasi atau persetujuan dari audiens.,Positif,468,74,52,416,0.16
18,Informasi Pendaftaran,Promosi sistem pembelajaran online dan tautan pendaftaran resmi.,Positif,56,9,14,42,0.16
6,Informasi Pendaftaran,Pemberitahuan bahwa pendaftaran mahasiswa baru masih dibuka.,Positif,224,31,175,49,0.14
9,Informasi Pendaftaran,Panduan pendaftaran melalui website resmi UNSIA.,Positif,170,18,141,29,0.11
23,Informasi Lokasi Kampus,Penjelasan detail alamat fisik kampus di Jakarta Selatan.,Netral,21,2,9,12,0.1
20,Apresiasi Konten,Komentar positif audiens terhadap konten yang dibagikan.,Positif,50,5,15,35,0.1
3,Interaksi Umum,Audiens hanya menyimak atau memberikan reaksi singkat.,Netral,393,31,1,392,0.08
19,Pertanyaan Jalur Masuk,Konfirmasi mengenai ketersediaan jalur konversi bagi calon mahasiswa.,Netral,54,4,41,13,0.07
11,Apresiasi Konten,Ucapan terima kasih atas informasi yang diberikan.,Positif,121,8,22,99,0.07
21,Interaksi Pengguna,Audiens menandai konten untuk dilihat kembali nanti.,Netral,36,1,0,36,0.03
8,Layanan Pelanggan,Admin mengarahkan audiens untuk berkomunikasi melalui DM.,Netral,173,3,105,68,0.02
