topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Saya Bisa Kenapa,netral,Masalah Teknis Aplikasi,"Aplikasi tidak bisa diakses, error loading, dan tombol tidak responsif",APP_TECHNICAL_BUG,40,17.54,3.0,159,"saya, bisa, kenapa, di, aplikasi, tidak, padahal, nya, ya, ini","saya coba instal karena mau nyoba konsultasi masalah kulit saya, tapi pas udah berhasil masuk kok gabisa di klik ya opsi² nya seperti chat dokter dll., hampir semua opsi nya gabisa di klik padahal udah instal ulang dan update juga tetap saja begitu, padahal sinyalnya juga bagus kok. itu kenapa yaa | Ko saya download ni aplikasi terus masuk koh engga bisa, apa ada gangguan. Dah masukin nomor dan pengiriman kode OTP gagal | Ausah sekali Loading nya. Muter muter terus. Padahal mau tes kesehatan di aplkasi ini. Lalu bagaimana? Tolong di perbaiki. Dan di beri fiture chat cs agar masalah cepat teratasi."
1,Dokter Saya Yang,netral,Layanan Konsultasi Dokter,Durasi konsultasi 30 menit tidak cukup karena dokter lambat merespon,CONSULTATION_SERVICE_QUALITY,35,15.35,3.0,88,"dokter, saya, yang, konsultasi, tidak, waktu, dan, tapi, untuk, ada","Saya sgt sering menggunakan halodoc utk konsultasi, tapi sudah 2x ini saya dpt pengalaman tdk enak. Saya sudah bayar 59rb, bagi saya itu tdk sedikit, tapi WAKTU 30 MENIT SAYA TIDAK CUKUP DAN PUAS krn dokter yg slowrespon. Masih ada yg ingin saya tanya, baik sakitnya atau obatnya tapi sesi sudah selesai. TOLONG JANGAN 30 MENIT SAJA, TAPI LEBIH! | Pengalaman pakai jasa dokter spkk di halodoc cukup membayar 57 ribu bisa konsul dengan berbagai dokter dalam waktu 30 menit. Saya kira hampir sama resepnya dengan dokter spkk yang saya temui. Hanya saja di halodoc sedikit buru2 dan sebagian pertanyaan belum terjawab karena chat langsung menutup setelah waktu selesai. Sementara waktu juga sedikit terbuang karena dokter bertanya berulang, juga memikirkan pertanyaan yg akan ditanyakan. Untuk biaya resep dan tebus obat dihalodoc sedikit mahal. | Dokternya terlalu lama bls chat durasi konsultasi hannya 30mnt dan dokternya bls 10mnt jdi gak bisa nyampaikan keluhan secara detail saya menggunakan apkk ini untuk mempermudah konsultasi malah jdi tidak dpt apa apa untuk apkk nya bagus gak ada gangguan sistem sama sekali"
3,Berakhir Belum Konsultasi,netral,Layanan Konsultasi Dokter,Sesi konsultasi berakhir sebelum masalah selesai dibahas,CONSULTATION_SERVICE_QUALITY,19,8.33,3.0,8,"berakhir, belum, konsultasi, waktu, selesai, puas, responnya, foto, sehingga, sangat","Untuk chat dengan dokter responnya lama,, sehingga waktu 1 jam hanya bisa konsultasi beberapa pertanyaan saja,, sangat kurang puas.. | beberapa kali dokternya sibuk,jd hrs nunggu 2menit dan gagal konsultasi.selebihnya lumayan oke | konsultasinya kurang puas waktu sdh berakhir... jawabnya lama,, pdhl blm selesai tp sdh berakhir"
7,Chat Bayar Dokter,netral,Sistem Pembayaran dan Refund,Dana tidak kembali setelah konsultasi dibatalkan oleh dokter,PAYMENT_REFUND_ISSUE,19,8.33,3.0,4,"chat, bayar, dokter, kembali, nya, sudah, dibatalkan, di, tidak, dengan","ini saya udah bayar sesuai harga min, tp dokter nya sibuk jd ga bisa di chat, saya batalkan uang nya gak kembali yaaaah 😩 | maaf sebelumnya di liat dokter nya online pas di chat off mana udh bayar rugi banget | Kecewaaa.. Ingin chat dgn dokter dan sudah pembayaran malah dibatalkan.. . Dana jg blm kembali"
2,Bagus Lumayan Berguna,netral,Pengalaman Pengguna,Ulasan positif umum mengenai kegunaan aplikasi,POSITIVE_FEEDBACK,18,7.89,3.0,0,"bagus, lumayan, berguna, buat, ok, sakit, aplikasinya, aplikasi, sms, smsnya",baguss | bagus | bagus
8,Yang Bisa Apotek,netral,Layanan Pembelian Obat,"Kendala pengiriman obat, informasi ED, dan pembatalan pesanan",PHARMACY_DELIVERY_ISSUE,14,6.14,3.0,27,"yang, bisa, apotek, pilihan, dari, aplikasi, obat, kasih, di, pembayarannya","1. senang akhirnya biar ditempat terpencilpun masih bisa pesan obat 2. kecewa krn obat yg di pesan lama terkonfirmasi shingga pengiriman jadi lebih lama. (utk daerah terpencil tdk ada pilihan pengiriman instan dr aplikasi ini, yg ada reglr sja). sehingga penangqn penyakit jd lambat. bgmn dengan org yg btuh pertologan cepat? | Aplikasi yg bgs dgn tujuan yg mulia. Namun, ada bbrp sistem aplikasi ini yg mngkn bisa dibenahi. Dri pengalaman sy, seperti obat yg sya beli tdk jelas tgl ED di kemasan obatnya, alangkah baiknya dari sistem bisa menyertakan tgl ed obat stlh pemesanan berhasil dibuat agr tdk ada keraguan/tlh dijamin. Lalu, tdk perlu ada pilihan pengantaran reguler estimasi 4 hari baru sampai, cust yg membeli obat artiny sdnng sakit dan butuh obat segera. Besar harapan sy halodoc bisa berkembang lebih baik. Trims. | pengalaman yg kurang mengenakkan.. mitra drivernya yg berganti2 ternyata tutup apotek nya.. pas di check order sdh terkonfirmasi jadi tidak bisa di batalkan.. suruh hubungi cs nya, malah di puter2 & prosedur agak ribet namun setelah di konfirmasi by phone langsung cepat tanggap. saran&masukan : kalo bisa diperbaharui lagi sistem aplikasi nya agar terus update utamanya seputar pengiriman produk/obat nya, apabila terjadi kendala pilihan cancel mdh agar tidak berdampak ke customer terimakasih"
6,Apotik Kasihan Di,netral,Layanan Pembelian Obat,Lokasi apotek jauh dan akurasi titik pengiriman bermasalah,PHARMACY_DELIVERY_ISSUE,12,5.26,3.0,16,"apotik, kasihan, di, ke, kurirnya, lain, depok, jakarta, yang, ada","Sangat membantu.tapi masa pesen alamat di depok ya harusnya cari apotik di depok.masa apotiknya di jakarta deket kantor.kasian ojolnya masa instan 22rb ( dr jakarta ke depok ) eh taunya cuma 11rb di aplikasi abangnya...akhirnya abangnya anter ke kantor.coba klo yg urgent butuh obatnya lan kasian.semoga ke depannya bisa di perbaiki | saya gatau mau konfirmasi ke siapa lagi karena udah nyari di apk gaada cs nya plis halodoc kamu apk yg berpotensi besar but, kenapa harus sejauh itu buat nyari apotik terdekat? apakah karena gaada mitra? dan untuk pengirimannya tolong diperbaiki lagi saya sudah seminggu paket ga terkirim terkahir ada di hub terusss ga jalan jalannn tolonggg itu obatttt saya beli di kamu juga lumayan harganya tolong ganti ekspedisiiiiii dan perbaiki cs nya. makasih | Aplikasi ini sangat membantu terlebih ingin konsul ke dokter tetapi dengan harga merakyat. Hanya saja pemesanan paket haloskin ini titik google mapnya kurang akurat. jdi sya terpaksa ngasih titik ke rmh org lain yg satu jalan dgn rumah saya. jujur Takut banget paketnya tb2 dibuka org lain. pdhl yg mesan saya, bukan dia. tolong halo doc perbaiki ya titiknya syg banget bayar mahal2 haloskin masak org lain yg make 😭"
5,Pembayaran Bank Lewat,netral,Sistem Pembayaran dan Refund,Kurangnya variasi metode pembayaran transfer bank,PAYMENT_METHOD_REQUEST,11,4.82,3.0,8,"pembayaran, bank, lewat, metode, kga, transfer, bisa, virtual, tambahkan, account","Sistem payment nya mungkin di perbanyak. Bisa transfer dr bank apa saja. | mungkin bisa ditingkatkan untuk pembayaran biar lebih gampang digunakan appnya, seperti contoh bisa transfer bank.. | baiknya ada penambahan metode pembayaran, spt virtual account"
4,Ramah Pasien Dokternya,netral,Layanan Konsultasi Dokter,Dokter kurang ramah dan respon sangat lambat,CONSULTATION_SERVICE_QUALITY,10,4.39,3.0,1,"ramah, pasien, dokternya, pembeli, top, kurir, membalas, mungkin, lambat, dan","dokternya kurang ramah ihh😞😔 | dokter nya mungkin lagi sibuk jadi agak cuek ,jawab skedar nya , | Lambat banget dokter balesin keluhan pasien, keburu mati duluan"
13,Ongkir Mahal Cuma,netral,Layanan Pembelian Obat,Biaya pengiriman mahal dan permintaan metode bayar COD,PHARMACY_DELIVERY_ISSUE,9,3.95,3.0,6,"ongkir, mahal, cuma, tahu, ambil, sediakan, ikut, di, obat, enggak",Pgiriman lama udh gt ongkir mahal | Cukup membantu...untuk pembayaran pengiriman tolong di sediakan bayar cash on delivery | Biaya pengiriman mahal pdhl jarak dekat
