reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,tgl_update,sentiment,business_category,sub_issue,merge_group,confidence_level
f15cbf01-1f58-4930-92f0-817186234faa,Richard Efesus,https://play-lh.googleusercontent.com/a/ACg8ocJ93QjkG7J6OHTODexkt6ZRUEI-khT69i6qPXhlLUr1ZXAcJQ=mo,sering bermasalah pas pembayaran divirtual account sebelum update baik2 saja setelah update malah sering gk bs virtual accountnya,3,0,28.8,2026-06-13 13:35:51,"Halo Richard Efesus, terima kasih atas ulasannya!

Untuk membantu kami memberikan pelayanan yang lebih baik, apakah ada saran atau masukan? Sampaikan via DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com.

Terima kasih dan sehat selalu!",2026-06-13 15:05:58,28.8,2026-06-22 13:52:01,netral,Sistem Pembayaran,Kegagalan transaksi pembayaran dan kendala saldo,PAYMENT_METHOD_ISSUE,High
69c87a75-1abc-4b79-b90d-5063b7e02fa1,thv. gf,https://play-lh.googleusercontent.com/a/ACg8ocKbZQMcum9y4UGXGcrr24nMvJQ6xpJTjhhoV3csDsXbFQ2kmw=mo,"Pengalaman konsultasinya cukup baik, tetapi saya mengalami kendala pada fitur chat. Pesan yang saya kirim tidak terkirim dan hanya menampilkan ikon jam dalam waktu yang cukup lama, padahal koneksi internet saya saat itu dalam kondisi baik. Menurut saya hal ini cukup mengganggu karena konsultasi bersifat berbayar dan memiliki batas waktu. Kalau saya tidak mencoba mengirim ulang pesan secara manual, bisa saja waktu konsultasi terbuang karena dokter tidak menerima pesan yang ingin disampaikan",3,1,28.6,2026-06-02 22:01:33,"Halo thv. gf, terima kasih atas ulasannya dan mohon maaf atas keluhan yang dialami.

Kami ingin memahami lebih lanjut agar bisa segera memperbaikinya. Mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com. Sertakan juga nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",2026-06-03 12:48:01,28.6,2026-06-22 13:52:01,netral,Layanan Konsultasi Dokter,Durasi konsultasi chat terlalu singkat dan dokter lambat merespons,CONSULTATION_SERVICE_QUALITY,High
cbffc6b8-38cb-4093-bc32-db04052b2ce0,RR Studio,https://play-lh.googleusercontent.com/a-/ALV-UjVqph4n4AF0ye1YKHY4QnbZbBAisRNFmEZWZdLbcEX8cqt-1Tue,"agak susah connect, padahal jaringan lancar",3,0,28.6,2026-05-29 21:15:48,"Halo RR Studio, terima kasih atas ulasannya dan mohon maaf atas keluhan yang dialami.

Kami ingin memahami lebih lanjut agar bisa segera memperbaikinya. Mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com. Sertakan juga nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",2026-05-29 23:54:17,28.6,2026-06-22 13:52:01,netral,Aksesibilitas Aplikasi,"Aplikasi error, force close, dan gagal login OTP",APP_TECHNICAL_ISSUE,High
926f85d8-fd91-4ab9-80c9-67efd66e4681,Gita Cahyani,https://play-lh.googleusercontent.com/a/ACg8ocLpzJeg-DBQvWi4fR4RENxmg6LjpPWLatOed-An2qJCskNV_w=mo,kenapaa aku ga bisa masuk ya disuruh isi nomer telpon udaj diklik kirim kode lewat wa tapi malah ga jalan²,3,0,28.3,2026-05-15 15:50:59,"Halo Gita Cahyani, terima kasih atas ulasannya dan mohon maaf atas keluhan yang dialami.

Kami ingin memahami lebih lanjut agar bisa segera memperbaikinya. Mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com. Sertakan juga nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",2026-05-15 18:08:57,28.3,2026-06-22 13:52:01,netral,Aksesibilitas Aplikasi,"Aplikasi error, force close, dan gagal login OTP",APP_TECHNICAL_ISSUE,High
1265bc63-8653-45c0-ba48-5d622c887f0e,Pengkuh anggarjito “Ketut”,https://play-lh.googleusercontent.com/a-/ALV-UjXlW8W_n7QbMigukyULMChzTk4mt6ifrfJBFywfbd4hVvQFZalZ,ketika mau bayar balik lagi ke menu pencarian👎,3,0,28.11,2026-04-29 11:01:35,"Halo Pengkuh anggarjito “Ketut”, terima kasih atas ulasannya dan mohon maaf atas keluhan yang dialami.

Kami ingin memahami lebih lanjut agar bisa segera memperbaikinya. Mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com. Sertakan juga nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",2026-04-29 18:39:46,28.11,2026-06-22 13:52:01,netral,Sistem Pembayaran,Kegagalan transaksi pembayaran dan kendala saldo,PAYMENT_METHOD_ISSUE,High
1f9a597c-3fcf-4cfc-a850-a88c2fb18091,godjink aja,https://play-lh.googleusercontent.com/a/ACg8ocJ-kf-meB8VsIy2KKFgAxeME7TKU2kDVD8YQToAXPkdjgOb6g=mo,"lacak pengantan muter2 mulu, chat cs sama muter2 terus ga bisa dibuka",3,0,,2026-04-29 08:38:06,"Halo godjink aja, terima kasih atas ulasannya dan mohon maaf atas keluhan yang dialami.

Kami ingin memahami lebih lanjut agar bisa segera memperbaikinya. Mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com. Sertakan juga nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",2026-04-29 10:48:22,,2026-06-22 13:52:01,netral,Sistem Pembayaran,Kegagalan transaksi pembayaran dan kendala saldo,PAYMENT_METHOD_ISSUE,High
d01b9b9a-aa6e-44d2-8015-940ab838e008,IrMoc Ajah,https://play-lh.googleusercontent.com/a-/ALV-UjWXZun1jIU5pq0D4IwHsbA62HBf9UIvUyTg_142x3T_6LMp6yA,"bgus apk nya. tapi mau tanya driver driver yang dulu di kemanain ya . bagusan dulu pengirimanya . driver nya sopan semua , mau brangkat maupun sampai selalu dikasih info sama drivernya . sekarang !!!",3,0,,2026-04-26 13:51:55,"Halo IrMoc Ajah, terima kasih atas ulasannya dan mohon maaf atas keluhan yang dialami.

Kami ingin memahami lebih lanjut agar bisa segera memperbaikinya. Mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com. Sertakan juga nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",2026-04-26 15:35:09,,2026-06-22 13:52:01,netral,Layanan Pengiriman Obat,Pengiriman obat lama dan kendala pencarian driver,DELIVERY_LOGISTICS_ISSUE,High
7671e225-1eb9-4cfe-aecf-5790b948a89d,Intan Putri Kadita,https://play-lh.googleusercontent.com/a-/ALV-UjWopuCSc0od1KjTnUcsrlbWl_LWXlF-kpYF4rkDOvB9rWgISgBzaw,terlalu banyak pembaruan,3,0,27.31,2026-04-25 09:02:10,"Halo Intan Putri Kadita, terima kasih atas ulasannya dan mohon maaf atas keluhan yang dialami.

Kami ingin memahami lebih lanjut agar bisa segera memperbaikinya. Mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com. Sertakan juga nomor HP akun Halodoc dan/atau nomor pesanan.

Terima kasih.",2026-04-25 09:31:29,27.31,2026-06-22 13:52:01,netral,Pengalaman Pengguna,Ulasan positif umum mengenai aplikasi,GENERAL_FEEDBACK,High
07ce3aaa-e1bc-4064-ab54-095b4fed1efa,Suci Alinda Ayu Handari,https://play-lh.googleusercontent.com/a-/ALV-UjUy-j1jbPQtFC4mbeu5wlxVFjDYnXz_yXgudp2dPP692o3HQbdUoQ,"tolong halo doc lain kali kalo milih apotik yg dekat2 rumah, kan ada apotek k24, kimia farma dll.. jangan jauh2 kasian drivernya",3,1,28.1,2026-04-23 20:06:47,"Halo Suci Alinda Ayu Handari, mohon maaf atas keluhan yang dialami. Kami akan membantumu. Mohon sampaikan detail kendalamu via DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com, sertakan nomor HP akun Halodoc dan/atau nomor pesanan. Terima kasih.",2026-04-24 00:20:37,28.1,2026-06-22 13:52:01,netral,Layanan Pengiriman dan Logistik,Masalah ongkir driver dan ketersediaan stok apotek,DELIVERY_AND_PHARMACY_ISSUE,High
1c13c501-e138-49a0-8955-fae61e101ae4,Rizqy Nugraha,https://play-lh.googleusercontent.com/a-/ALV-UjUD9GDyWCV_hkfnyT4BN6LXgZ2tdy6YBCNWlTfyBGsu8cPtrG4,ada bug penentuan lokasi yang gak akurat,3,0,,2026-04-19 15:59:27,"Halo Rizqy Nugraha, mohon maaf atas keluhan yang dialami. Kami sedang berupaya memperbaikinya secepatnya. Jika masih butuh bantuan atau ingin menindaklanjuti, mohon DM ke @HalodocID (X) atau @Halodoc (Instagram), atau email ke help@halodoc.com detail kendalamu, termasuk nomor HP akun Halodoc dan/atau nomor pesanan. Terima kasih.",2026-04-19 16:15:31,,2026-06-22 13:52:01,netral,Layanan Pengiriman dan Logistik,Permintaan peningkatan akurasi lokasi,MAPS_LOCATION_ISSUE,Medium
