Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,2,-1_tidaknjelas_bertarif_rapi_tersusun,"['tidaknjelas', 'bertarif', 'rapi', 'tersusun', 'kok', 'sekarang', 'ya', 'dan', 'tidak', '']","['baru kali ini aku sangat kecewa dengan aplikasi ini awal-awal saya pakai bagus pengiriman sesuai aplikasi tapi sekarang masalah pengiriman sangant tidak memuaskan pengiriman tidak sesuai jadwal aplikasi padahal sudah ada di kabupaten saya tapi di jawab ada kendala dengan alamat lah padahal kalau di cari di google maps itu sudah tertera jelas alamatnya ini aplikasi saya mau beli obat masa harus di tunda 2 hari lagi karena pengiriman sekarang hari sabtu orang sakit bukanya sembuh malah di suruh tahan sakit', 'tidak bisa menyimpan alamat secara manual alamatnya ditentukan secara otomatis lokasi pin sudah sesuai tapi alamat yang muncul berbeda memasuki alamat manual malah yang keluar alamat2 rekomendasi yang tidak jelas perbaiki itu apa gunanya fitur simpan alamat kalau tidak bisa disetting alamat secara manual contoh fitur simpan alamat dari e commerce yang bisa simpan alamat secara manual tag pin akurat sesuai alamat yang ter pin isi alamatnya ribet', 'pesan dini hari jam 3 berharap langsung diantar cepat malah driver tidak bisa dihubungi dan alhasil sudah menunggu 90 menit masih belum ada kabar harga tertera di aplikasi dan di apotek juga berbeda karena setelah melakukan pembayaran pihak apotek telfon untuk menginformasikan perbedaan harga dan suruh bayar lagi untuk kekurangannya kalau bisa untuk komunikasi ke berbagai pihak driver ataupun cs jangan menggunakan pulsa sudah beli obat mahal driver susah dihubungi mau laporan harus ongkos pulsa']",Tidaknjelas Bertarif Rapi
0,56,0_saya_sesi_selesai_asuransi,"['saya', 'sesi', 'selesai', 'asuransi', 'konsultasi', 'dengan', 'dokter', 'menit', 'dan', 'untuk']","['saya sangat kecewa dengan pengalaman konsultasi di halodoc saya konsultasi dengan dari silvia dwi mustika tim haloskin tapi dokter sama sekali tidak merespons pesan saya dari awal sampai sesi berakhir padahal statusnya terlihat online sudah masuk ke room chat saya sudah menunggu lama bhkan sampai hari berikutny tapi tidak ada satu pun blasan akhirny sesi konsultasi berakhir saja tanpa tanggapan dokterny tidak profesional uang saya jadi terbuang percuma mohon halodoc bisa menindaklanjuti kembalikan uang saya', 'saat menunggu waktu konsultasi ditulis akan dapat notif jika dichat dokter dalam beberapa menit saya tunggu-tunggu tidak ada notif sama sekali kalau mau kembali ke beranda harus klik cancel dulu waktu saya cancel karena sudah menunggu terlalu lama ternyata dokternya sudah ngechat dari awal tapi layar tidak berganti dari timer menunggu dan tidak ada notif sama sekali sesi konsultasi saya jadi tersisa hanya 4 menit berakhir sia sia dokternya sangat oke responnya 10 10 aplikasinya 2 10', 'ini aplikasi nipu customer saya sambungkan dengan asuransi saat pertama kali coba biaya konsultasi dan obat gratis setelah itu saya coba kembali konsultasi untuk beli obat yang sama info ya biaya gratis tercover oleh asuransi setelah selesai konsultasi muncul tagihan yang infonya bayar jumlah tagihan yang di tolak aneh banget diagnosa sama obat juga sama tapi yang kedua diminta biaya saya coba ketiga kali hasilnya sama padahal plafond asuransi saya masih ada 2juta']",Saya Sesi Selesai
1,40,1_otp_login_kalender_menstruasi,"['otp', 'login', 'kalender', 'menstruasi', 'kode', 'gagal', 'bisa', 'kenapa', 'masuk', 'lancar']","['koneksi nya bagaimana sih buka youtube tiktok ig game dll lancar lancar saja saat buka halo doc kayak benar benar enggak ada jaringan bagaimana mau dipakek coba kalo jaringannya kacau parah', 'halo coba keamanan data diperketat lagi saya merasa tidak login di aplikasi kok tiba tiba ada kode otp yang masuk tolong ya sistemnya dibenerin saya merasa tidak login soalnya', 'kenapa tidak bisa login ya kode otp selalu gagal']",Otp Login Kalender
2,34,2_bad_artis_buruk_tipu,"['bad', 'artis', 'buruk', 'tipu', 'gajeeeeee', 'hui', 'immmk', 'ce', 'dbb', '67']","['ce di ujihx dbb', 'immmk kji ya hui', '67 rpepo _ saja it⅚9u l6 ke 33 ya p']",Bad Artis Buruk
3,33,3_waktu_kurang_buru_habis,"['waktu', 'kurang', 'buru', 'habis', 'respon', 'buang²', 'sebentar', 'dokternya', 'lambat', 'keburu']","['durasi konsultasi dengan dokter singkat dengan biaya yang lumayan menguras kantong', 'buang² uang respon dokter lama waktu konsultasi yang di berikan cuma 30 menit belum ngapa²in waktu deh habis saja', 'kurang puas pelayanan dokter nya buruk tidak reponsif sangat lama membalas keburu habis waktu buang² uang']",Waktu Kurang Buru
4,26,4_saya_paket_pesan_inhaler,"['saya', 'paket', 'pesan', 'inhaler', 'evoucher', 'menghubungi', 'sekali', 'terkonfirmasi', 'tertulis', 'menerima']","['awalnya 2x saya pesan inhaler untuk asma enggak ada kendala saat ke3x nya saya pesan inhaler ternyata kurir nya salah kirim ke alamat lain buat laporan ke aplikasinya enggak ada tanggapan sama sekali padahal itu inhaler sangat-sangat emergency apalagi waktu itu keadaan larut malam dan saya pilih aplikasi halodoc tipe pengiriman instan jujur dalam segi keamanan pesanan komsumen buruk sekali sangat sangat buruk apalagi ini menyangkut ke sehatan aplikasi sampah', 'mohon maaf saya kecewa sekali dengan aplikasi ini saya sudah menunggu 11 hari tapi obat yang saya pesan belum datang katanya barang saya recerver padahal saya belum menerima pesan telepon dari kurir terkait barang saya sumpah saya sungguh kecewa saya sudah dm instragram menghubungi melalui email bahkan nelponn cs nya langsung tanggapan nya cuma mohon bersabar terus sungguh sangat kecewa sekali padahal obat nya sangat di perlukan', 'saya sudah melakilan pembayaran masak gara gaea sistem saya tidak terdetaksi pembayaran setau saya pemesanan tidak akan rerkonfirmasi selama belum melakukan pembayaran ini saya sudah terkonfirmasi dari 12 desember 2023 sampai saya melakukan di 12 januari 2024 karena obatnya masih saya terkonfirmasi saat saya mntak refund kenapa malah bilang ada kendala pada sistem ya menurut saya itu bukan kesalahan costumer jangan lupa perbaiki aplikasi agar costumer bisa melihat riwayat transaksi pembayaran']",Saya Paket Pesan
5,25,5_saldo_halodoc_transaksi_medcare,"['saldo', 'halodoc', 'transaksi', 'medcare', 'dibatalkan', 'ke', 'tarik', 'gojek', 'gagal', 'pakai']","['untuk proses verifikasi melalui selfie sangat menyusahkan apalagi ketika ingin menyambungkan akun bayi saya ke asuransi harus melalui verifikasi selfi berkali2 dan terus gagal karena system membaca itu bukan selfie bayi umur 3 bulan disuruh selfi yang benar saja dong', 'penipu pembayaran dengan va gagal tapi saldo terpotong habis itu dijanjikan langsung kembali ke saldo halodoc bukan pengembalian ke saldo bank kita tapi sampai sekarang tidak balik2 di ig cuma pencitraan suruh dm tapi tidak ada tindak lanjut fix ini penipuan', 'pesanan saya dibatalkan saat pesan ulang katanya produk tidak tersedia di wilayah saya pembayaran dikembalikan ke saldo halodoc saat saldo mau ditarik ternyata proses tertunda terus jadi saldo mengendap di halodoc sepertinya itu upaya supaya saldo tersebut tetap digunakan di halodoc padahal kan bisa digunakan ke transakso lain kalau seandainya bisa dikembalikan']",Saldo Halodoc Transaksi
6,28,6_sibuk_dokternya_kepotong_slr,"['sibuk', 'dokternya', 'kepotong', 'slr', 'balikin', 'enggak', 'duit', 'bayar', 'gua', 'apa²']","['sudah isi saldo biar bisa konsultasi eh tapi dokter nya malah sibuk sia sia sudah payment balikin duit saya woi', 'aplikasi pepek sudah 2x mesen obat gagal mulu mana lagi sakit sehat² dah lu weno tri laksono dana gua balikin su', 'saya sudah bayar dokternya sudah bilang kalau mau slr tapi malah slr parah bilang lagi sibuk saya juga sibuk disempetin belum diresepin sudah berakhir no recomend banget sia sia duit gua']",Sibuk Dokternya Kepotong
7,25,7_psikolog_siah_memang_saja,"['psikolog', 'siah', 'memang', 'saja', 'semua', 'kalau', 'indonesia', 'hati', 'gelo', 'bpjs']","['memang tolol tidak mikir apa cuman tanya doang bayar nya mahal banget cuman di indonesia yang begini kesehatan saja berbayar fasilitas di indonesia 0 besar apa apa berbayar bayangkan cuman tanya doang belum berobat nya loh tidak punya hati apa sama saja alodok atau aplikasi apapun berbayar padahal cuman niat nanyak doang saya tidak sakit cuman mencurahkan salah satu kelur kesah tinggal di indonesia yang minim', 'saya kasih tahu buat kalian saya sudah pernah coba jasa ini 1 diagonisa nya tebakkan dokter splsialis umum sama saja 2 resep nya saling berlawanan tabrakan masa obat auato imut di minum bareng smaa vitamin daya tahan tubuh 3 resep sama semua mau dokter mana saja saya kira keriris tnyata sama seperti boot komputer jawaban nya umum tidak spespik 4 r3sep nya sampai 10 piel salap nya sampai 3 salap di pakai minum tiap hari real keejaan dokter jual obata itu nyataa mending berobat ke malaysia kalau ada dana', 'gelo siah halodok panyateh teu mayar siah ngomongna we garatis ih gelo siah karunya steh aing rakyat jelitaaa goceng atuh arek mah mayarna naon sakali konsultasi gocap ih gelo rakus siah maraneh kak puskesmas ge ngan sapuluh rebu siah gelo siah']",Psikolog Siah Memang
8,30,8_metode_pembayaran_transfer_via,"['metode', 'pembayaran', 'transfer', 'via', 'linkaja', 'bank', 'gopay', 'dll', 'pakai', 'tolong']","['untuk metode pembayaran pilihannya sangat sedikit enggak ada metode tf bank enggak ada juga pikihan top up saldo kayak dulu tolong untuk diupdate lagi aplikasinya', 'kurang fleksible untuk pemilihan metode pembayaran kasus saya buat konek ke gopay perlu ada verifikasi otp via sms bisa ditambahkan opsi yang lebih mudah langsung masuk ke aplikasi gojek tambah ferivikasi otp via wa', 'kecewa banget masa tidak ada metode pembayaran lain selain 4 itu tolong dong mengadakan metode virtual account va apa kayak terserah jadi bisa semua lapisan bisa pakai mau top up dan terima layanan susah banget']",Metode Pembayaran Transfer
