topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Bisa Tidak Di,netral,Stabilitas Aplikasi,Aplikasi tidak dapat dibuka setelah melakukan pembaruan,APP_CRASH_UPDATE,1646,44.27,3.0,1895,"bisa, tidak, di, aplikasi, buka, kenapa, sudah, saya, login, jmo","setelah update kok tidak bisa di buka lagi apk nya | setelah update aplikasi jmo,, malah aplikasi tidak bisa dibuka,, knp yh | kenapa setelah di update malah ga bisa di buka apk nya"
1,Update Tiap Setiap,netral,Manajemen Pembaruan Aplikasi,Aplikasi terus menerus meminta pembaruan saat akan dibuka,FORCE_UPDATE_LOOP,253,6.8,3.0,12,"update, tiap, setiap, terus, mulu, harus, aplikasi, buka, meminta, mau",bagus tapi tiap kali mau buka harus diperbarui terus apk nya 😮‍💨 | setiap mau buka aplikasi ko update terus sih | setiap mau buka aplikasi harus di update terus cape bet
2,Buka Bisa Tidak,netral,Stabilitas Aplikasi,Aplikasi mengalami kegagalan saat dibuka,APP_CRASH_UPDATE,235,6.32,3.0,8,"buka, bisa, tidak, jmo, kenapa, di, kok, dibuka, ya, keluar",ko gak bisa di buka | kok tidak bisa di buka | kok tidak bisa di buka
3,Bagus Baik Sangat,netral,Kepuasan Pengguna,Ulasan positif umum mengenai kualitas aplikasi,POSITIVE_FEEDBACK,199,5.35,3.0,2,"bagus, baik, sangat, cukup, buruk, terpecaya, burik, jaring, kedepanya, simple",bagus | bagus | bagus
4,Bpjs Saya Klaim,netral,Layanan Klaim JHT,Kegagalan klaim JHT dan kendala akses akun,CLAIM_JHT_ERROR,192,5.16,3.0,60,"bpjs, saya, klaim, yang, jht, kantor, dari, ke, sudah, untuk","dari tempat kerja sebelumnya Saya sudah pernah klaim jht lewat apk ini aman saja lancar tidak sampai 1mnit saldo masuk ke rekening tapi kenapa setelah saya bekerja ditempt yang baru dan sudah resign lagi ingin klaim lagi malah gabisa gagal terus keterangannya tidak bisa klaim melalui apk jmo dikarenKan saldo tidak ditemukan padahal jelas ada saldo dan status sudah non aktif dan saldopun memenuhi syarat klaim online tolong sulisi min | user interface yang mudah untuk melakukan klaim JHT, saya udah klaim dari 27 Agustus 2025. tapi sampai sekarang dana belum cair. Kadang kalau mau klaim saldo JHT keterangannya tidak bisa diklaim. Track record klaimnya pun tidak bisa di klik. Saya telfon call center harus ke kantor cabang. Mohon diperbaiki lagi yaa kedepannya | kenapa saya tiap mau log in tidak bisa selalu kata sandi dan email salah mohon solusinya agar saya bisa mencairkan uang saya karna buat bayar tunggakan bpjs"
5,Lambat Lumayan Kebanyakan,netral,Kepuasan Pengguna,Ulasan positif mengenai manfaat aplikasi,POSITIVE_FEEDBACK,120,3.23,3.0,697,"lambat, lumayan, kebanyakan, gangguan, sering, seringkali, update, cukup, membantu, naik",membantu | membantu | membantu👍
6,Ok Good Oke,netral,Kepuasan Pengguna,Ulasan positif singkat dari pengguna,POSITIVE_FEEDBACK,117,3.15,3.0,1,"ok, good, oke, best, nice, mntap, the, biasa, saja, mtaaap",ok | ok | ok
7,Update Meminta Terus,netral,Manajemen Pembaruan Aplikasi,Frekuensi pembaruan aplikasi yang terlalu sering,FORCE_UPDATE_LOOP,113,3.04,3.0,6,"update, meminta, terus, sering, dikit, upgrade, tiap, banget, pembaruan, bulan",Sering minta di update terus👎👎👎🙏 | kok minta update terus.. | risih minta update terus apknya
-1,Baik Luar Biasa,netral,Lain-lain / Noise,Ulasan umum/noise,OVERALL_SATISFACTION,91,2.45,3.0,1,"baik, luar, biasa, goood, jos, 𝕒𝕡𝕝𝕚𝕜𝕒𝕤𝕚, 𝚋𝚒𝚜𝚊, 𝕛𝕞𝕠, nyaman, sangat",kenapa aplikasi JMO sering keluar dari aplikasi tiba2 | jos | Better
8,Eror Sering Susah,netral,Stabilitas Aplikasi,Aplikasi sering mengalami error saat digunakan,APP_STABILITY_ISSUE,83,2.23,3.0,5,"eror, sering, susah, suka, kebuka, kadang, logout, ribet, masuk, error",Aplikasi sering erorr | aplikasi kadang eror | aplikasi sering eror
9,Dibuka Tidak Bisa,netral,Stabilitas Aplikasi,Aplikasi tidak dapat diakses atau dibuka,APP_CRASH_UPDATE,78,2.1,3.0,1,"dibuka, tidak, bisa, aplikasi, login, perangkat, apa, jmo, sulit, kenapa",aplikasi tidak bisa dibuka | aplikasi tidak bisa dibuka | aplikasi nggak bisa dibuka
10,Pengkinian Data Gagal,netral,Pengelolaan Data Pengguna,Kegagalan dalam proses pengkinian data,DATA_UPDATE_FAIL,74,1.99,3.0,284,"pengkinian, data, gagal, melakukan, tolong, susah, saat, untuk, mau, datanya","kenapa ya, pengkinian data sudah, tpi tidak bisa di klaim | ketika pengkinian data mengapa gagal terus ya? tolong diperbaiki | pengkinian data gak bisa terus kenapa ya...? tolong di permudah"
11,Mantap Puas Lumayan,netral,Kepuasan Pengguna,Ulasan positif mengenai pengalaman pengguna,POSITIVE_FEEDBACK,73,1.96,3.0,1,"mantap, puas, lumayan, memuaskan, keren, bagus, mantab, senang, sangat, kurang",mantap | mantap | mantap
12,Membantu Sangat Bermanfaat,netral,Kepuasan Pengguna,Ulasan positif mengenai manfaat aplikasi,POSITIVE_FEEDBACK,71,1.91,3.0,0,"membantu, sangat, bermanfaat, cukup, lumayan, kantornya, sekali, oke, rating, sibuk",sgt. membantu | sangat membantu | sangat membantu
13,Jht Saldo Klaim,netral,Layanan Klaim JHT,Kendala dalam proses klaim dan pengecekan saldo JHT,CLAIM_JHT_ERROR,51,1.37,3.0,3,"jht, saldo, klaim, cek, untuk, mudah, kita, gagal, persulit, verifikasi",kenapa tidak bisa melakukan klaim saldo jht dari aplikasi jmo ini? | kenapa g bisa klaim saldo | Tidak bisa cek saldo JHT di perusahaan lama
14,Bintang Kasih Dulu,netral,Kepuasan Pengguna,Pemberian rating sementara karena kendala teknis,APP_STABILITY_ISSUE,42,1.13,3.0,4,"bintang, kasih, dulu, kalau, nanti, baru, cair, entar, bintangnya, tiga","baru menggunakan aplikasi jmo jadi kasi bintang 3 aja dulu kalau aplikasi nya bagus baru kasi bintang 5, kok nggak bisa buat akun baru | bintang 3 dlu , klo bisa cairin via aplikasi baru di kasih bintamg 5 | saya kasih bintang 3 dulu, soalnya klo sya buka sering error.."
15,Mudah Lebih Cepat,netral,Pengalaman Pengguna,Aplikasi memberikan kemudahan dan kenyamanan penggunaan,POSITIVE_FEEDBACK,38,1.02,3.0,0,"mudah, lebih, cepat, alhmdulilah, simpel, bagus, berguna, memudahkan, mantap, aplikasi",bagus lebih mudah | aplikasinya bagus | sangat mudah
16,Terima Kasih Terimakasih,netral,Pengalaman Pengguna,Aplikasi sangat membantu dalam pengecekan jaminan,POSITIVE_FEEDBACK,37,1.0,3.0,1,"terima, kasih, terimakasih, sangat, untuk, membantu, dan, trimakasih, jmo, 2026","aplikasi ini sangat membantu sekali...terima kasih JMO | sangat membantu dalam pengecekan jaminan,, Terima kasih jmo, | trima kasih aplikasinya sangat membantu"
17,Redmi Note Os,netral,Masalah Teknis Perangkat,Aplikasi mengalami force close pada perangkat Redmi,DEVICE_COMPATIBILITY_ISSUE,27,0.73,3.0,78,"redmi, note, os, hp, force, poco, close, device, sayah, terbaru",tidak bisa dibuka di hp redmi note 9 ketika di buka Force close | aplikasi tidak bisa di buka . perangkat saya redmi note 10p | koq setelah update masa tidak bisa di buka? di redmi note 13 4g saya?
18,Semoga Cepat Lebih,netral,Pengalaman Pengguna,Harapan pengguna untuk peningkatan kualitas aplikasi,FEATURE_REQUEST,24,0.65,3.0,0,"semoga, cepat, lebih, amanah, baik, pensiun, proses, bermanfaat, kali, mambantu",semoga LBH baik lagi | semoga lebih cepat | semoga lebih bagus dan baik.
19,Membantu Sangat Info,netral,Pengalaman Pengguna,Aplikasi memudahkan akses informasi dan investasi,POSITIVE_FEEDBACK,22,0.59,3.0,53,"membantu, sangat, info, lebih, dalam, investasi, apllikasi, berobat, untuk, depan",sangat membantu.lebih mudah lihat | sangat membantu dan lebih memudahkan | sangat membantu di bidang informasi jmo
20,Verifikasi Otomatis Keluar,netral,Masalah Akses Akun,Aplikasi keluar otomatis saat proses login,LOGIN_ERROR,21,0.56,3.0,2,"verifikasi, otomatis, keluar, data, daftar, kenapaya, instansi, kenapa, sendiri, nya","kenapa jmo nya tidak bisa login | kenapa aplikasi gak bisa di buka ya, keluar otomatis | Kenapa login jmo tidak bisa?"
21,Mental Eror Terus,netral,Masalah Teknis Aplikasi,Aplikasi tertutup sendiri setelah pembaruan,APP_CRASH,21,0.56,3.0,0,"mental, eror, terus, diperbaruhi, ya, customer, kenapa, jmo, awal, diupdate",Kenapa jmo sekarang mental terus ya? | jmo kenapa jadi nda aktif? apikasinya mati trs??? | mental terus kenapa ya abis diupdate
22,Terlalu Sering Lahir,netral,Manajemen Pembaruan Aplikasi,Frekuensi pembaruan aplikasi dianggap terlalu sering,UPDATE_FREQUENCY,20,0.54,3.0,1,"terlalu, sering, lahir, aturan, buang, kuota, banyak, pembaruan, update, tanggal",terlalu sering update... | terlalu sering update | Terlalu sering update
23,Tanggal Juni 12,netral,Manajemen Pembaruan Aplikasi,Kewajiban pembaruan berulang dalam waktu singkat,UPDATE_FREQUENCY,19,0.51,3.0,2,"tanggal, juni, 12, kemarin, 2025, update, baru, 26, lagi, sekarang","terakhir update kmrn tgl 12 juni 2025 masa sekarang mau login harus update lagi ? | Baru di update tanggal 19 kemarin kok udah minta di update lagi, yang bener aja | terlalu sering di update, baru dua hari lalu di update hari ini mau buka aplikasinya harus update lagi"
24,Tingkatkan Keamanan Sedikit,netral,Pengalaman Pengguna,Permintaan peningkatan kualitas layanan secara berkelanjutan,FEATURE_REQUEST,12,0.32,3.0,15,"tingkatkan, keamanan, sedikit, lagi, download, sistim, kualitas, mengurangi, tolong, dijaga",bagus tingkatkan terus pelayanan | Bagus. Tingkatkan terus layanan JMO | Mohon di tingkatkan lagi
