sentiment,business_category,merge_group,review_count_all,review_count_confident,share_confident,avg_score,example_sub_issues
negatif,Masalah Langganan dan Akses,SUBSCRIPTION_ERROR,8493,8418,0.9912,1.17,"Paket langganan tidak aktif atau tidak terbaca sistem, Ketidaksesuaian akses konten berbayar untuk siaran bola, Kendala akses konten paket liga olahraga"
negatif,Pengalaman Pengguna,ADVERTISEMENT_ISSUE,3327,3316,0.9967,1.18,"Frekuensi iklan yang terlalu banyak dan mengganggu, Durasi iklan terlalu panjang saat menonton video, Permintaan pengguna untuk mengurangi durasi iklan"
negatif,Kualitas Aplikasi,APP_QUALITY,2328,2305,0.9901,1.1,"Kualitas aplikasi secara umum dinilai buruk, Pengguna ingin uninstall karena terlalu banyak iklan"
negatif,Masalah Langganan dan Akses,ADVERTISEMENT_ISSUE,1388,1365,0.9834,1.14,Iklan masih muncul meskipun sudah berlangganan premium
negatif,Kualitas Aplikasi,PERFORMANCE_BUG,1317,1317,1.0,1.08,"Aplikasi sering mengalami lag dan buffering, Aplikasi sering mengalami loading lama dan error, Keluhan performa lag dan iklan berlebih"
negatif,Masalah Langganan dan Akses,LOGIN_ERROR,404,402,0.995,1.16,Kendala login menggunakan nomor telepon
negatif,Kualitas Aplikasi,PLAYBACK_ERROR,355,352,0.9915,1.22,Video atau siaran live tidak dapat diputar
negatif,Konten dan Siaran,CONTENT_AVAILABILITY,286,282,0.986,1.26,Siaran TV nasional tidak tersedia atau tidak lengkap
negatif,Masalah Langganan dan Akses,PAYMENT_ISSUE,254,253,0.9961,1.14,Gagal melakukan redeem kode voucher pembayaran
negatif,Model Bisnis,PRICING_FEEDBACK,182,181,0.9945,1.13,"Keberatan pengguna terhadap sistem berbayar, Keluhan harga paket dan gangguan iklan, Keluhan harga mahal dan ketidakpuasan konten"
negatif,Akses Konten,ACCESS_ISSUE,161,160,0.9938,1.15,Kesulitan membuka aplikasi atau konten spesifik
negatif,Kualitas Aplikasi,GENERAL_COMPLAINT,154,153,0.9935,1.09,"Keluhan umum mengenai performa aplikasi, Ulasan negatif mengenai kualitas aplikasi secara keseluruhan"
negatif,Kepuasan Pengguna,POSITIVE_FEEDBACK,136,134,0.9853,1.27,Ulasan positif mengenai kualitas aplikasi
negatif,Pengalaman Pengguna,USER_EXPERIENCE_DECLINE,121,121,1.0,1.17,"Penurunan kualitas layanan dan iklan berlebih, Ulasan negatif terkait iklan dan kualitas"
negatif,Gangguan Teknis,PLAYBACK_ERROR,114,114,1.0,1.32,"Kegagalan pemutaran video meski sudah berlangganan, Masalah pemutaran video dan fitur unduhan"
negatif,Lain-lain / Noise,OVERALL_SATISFACTION,112,0,0.0,1.14,Ulasan umum/noise
negatif,Sistem Pembayaran,BILLING_ISSUE,58,58,1.0,1.02,Pemotongan saldo otomatis tanpa persetujuan pengguna
negatif,Lain-lain,SPAM_IRRELEVANT,30,29,0.9667,1.57,Ulasan tidak relevan atau teks tidak terbaca
netral,Kinerja Aplikasi,PERFORMANCE_BUG,786,777,0.9885,3.0,"Aplikasi buffering dan error setelah pembaruan, Aplikasi sering lag dan error saat streaming, Gangguan teknis saat menonton siaran langsung"
netral,Pengalaman Pengguna,ADVERTISEMENT_ISSUE,716,709,0.9902,3.0,"Jumlah iklan terlalu banyak dan mengganggu, Keluhan mengenai frekuensi iklan yang tinggi, Aplikasi bagus namun terganggu terlalu banyak iklan"
netral,Langganan dan Pembayaran,SUBSCRIPTION_ERROR,459,455,0.9913,3.0,"Kesulitan dalam proses pembelian paket berlangganan, Konten premium tidak dapat diakses setelah bayar"
netral,Kepuasan Pengguna,POSITIVE_FEEDBACK,250,224,0.896,3.0,"Ulasan positif umum dari pengguna, Ulasan singkat positif"
netral,Kepuasan Pengguna,GENERAL_FEEDBACK,205,205,1.0,3.0,"Ulasan netral atau saran perbaikan umum, Pemberian rating rendah karena kendala teknis"
netral,Katalog Konten,CONTENT_AVAILABILITY,163,163,1.0,3.0,"Koleksi film dan series kurang lengkap, Kendala akses siaran langsung dan tayangan ulang TV"
netral,Ketersediaan Konten,CONTENT_AVAILABILITY,88,88,1.0,3.0,"Keluhan ketersediaan siaran olahraga dan liga tertentu, Ketidaktersediaan saluran TV nasional tertentu, Permintaan ketersediaan saluran TV dan konten olahraga"
netral,Performa Aplikasi,PERFORMANCE_BUG,42,42,1.0,3.0,"Aplikasi sering mengalami buffering dan lag, Masalah lag pada subtitle dan pemutaran video"
netral,Harga dan Langganan,PRICING_ISSUE,41,41,1.0,3.0,"Kenaikan harga paket langganan yang dianggap mahal, Terlalu banyak konten olahraga yang berbayar, Keluhan fitur premium untuk akses download"
netral,Lain-lain / Noise,OVERALL_SATISFACTION,35,0,0.0,3.0,Ulasan umum/noise
netral,Fitur Aplikasi,FEATURE_REQUEST,16,16,1.0,3.0,Kendala pada fitur download dan akses konten
netral,Harga dan Langganan,PAYMENT_ERROR,15,15,1.0,3.0,Kegagalan dalam proses pembelian paket langganan
netral,Lain-lain,UNCATEGORIZED,12,12,1.0,3.0,Ulasan tidak jelas atau tidak relevan
positif,Ulasan Umum Pengguna,GENERAL_POSITIVE,9063,8605,0.9495,4.9,"Ulasan positif umum mengenai aplikasi, Harapan dan dukungan untuk pengembangan aplikasi"
