topic_id,topic_name,sentiment,business_category,sub_issue,merge_group,review_count,percentage,average_score,total_thumbs_up,top_keywords,sample_reviews
0,Membantu Sangat Sekali,positif,Kepuasan Pengguna Umum,Ulasan positif mengenai manfaat aplikasi secara umum,POSITIVE_FEEDBACK,2775,20.0,4.96,159,"membantu, sangat, sekali, bermanfaat, banget, dan, bagus, cukup, terbantu, baik",sangat membantu | sangat membantu | Sangat membantu 👌
1,Good Ok Bagus,positif,Kepuasan Pengguna Umum,Ulasan positif singkat mengenai kualitas layanan,POSITIVE_FEEDBACK,2228,16.06,4.93,272,"good, ok, bagus, oke, terbaik, best, baik, nice, top, job",baikk | baik | baikk
2,Konsultasi Untuk Ke,positif,Layanan Konsultasi Medis,Kemudahan akses konsultasi dokter secara daring,CONSULTATION_SERVICE,1395,10.06,4.95,562,"konsultasi, untuk, ke, tidak, saat, membantu, rumah, sakit, bisa, yang",Sangat membantu kalo butuh cepet konsultasi dokter | Aplikasi nya sangat membantu untuk Konsul dengan dokter | sangat membantu dan memudahkan disaat tidak bisa pergi ke klinik
3,Mantap Banget Keren,positif,Kepuasan Pengguna Umum,Ulasan kepuasan pengguna dengan nada antusias,POSITIVE_FEEDBACK,1302,9.39,4.96,106,"mantap, banget, keren, bagus, mantab, puas, memuaskan, sat, set, pokoknya",mantap | mantapp | mantap
4,Dokternya Ramah Dokter,positif,Layanan Konsultasi Medis,Kualitas interaksi dan keramahan dokter saat konsultasi,DOCTOR_PERFORMANCE,1279,9.22,4.95,291,"dokternya, ramah, dokter, baik, dan, respon, nya, fast, penjelasan, juga",dokternya cepat respon sangat baik | konsultasi dokternya sgt ramah | Dokternya ramah dan cpt responnya
5,Halodoc Dokter Kasih,positif,Layanan Konsultasi Medis,Apresiasi terhadap dokter dan kemudahan konsultasi,CONSULTATION_SERVICE,902,6.5,4.94,992,"halodoc, dokter, kasih, terima, terimakasih, yang, dan, dengan, konsultasi, dok","Dokter dokter nya sangat membantu saya ketika konsultasi, terima kasih Halodoc.. | Konsultasi mudah dan respon dokter cepat. Sangat membantu Keren pkokknya, terima kasih untuk dokter2 dan aplikasi halodoc 😍🫶 | Alhamdulillah sangat membantu untuk konsultasi sama dokter terbaik di bidangnya. Terimakasih halodoc"
6,Cepat Respon Pengiriman,positif,Layanan Operasional,Kecepatan respon layanan dan pengiriman obat,OPERATIONAL_SPEED,732,5.28,4.94,122,"cepat, respon, pengiriman, tanggap, responnya, dan, tepat, obat, baik, nya",Respon cepat dan baik | respon baik dan cepat | Respon baik dan cepat
7,Pelayanan Pelayanannya Ramah,positif,Layanan Operasional,Kualitas pelayanan yang cepat dan ramah,OPERATIONAL_SPEED,432,3.11,4.97,341,"pelayanan, pelayanannya, ramah, bagus, cepat, baik, dan, memuaskan, nya, layanan",Pelayanannya Baik dan cepat | Pelayanan baik dan cepat | Pelayanan bagus dan cepat
8,Halodoc Kasih Terima,positif,Kepuasan Pengguna Umum,Apresiasi umum terhadap manfaat aplikasi Halodoc,POSITIVE_FEEDBACK,350,2.52,4.98,31,"halodoc, kasih, terima, terimakasih, aplikasi, sekali, trimakasih, ini, sangat, membantu",Sangat membantu. Trimakasih halodoc | Sangat membantu trimakasih halodoc | sangat membantu trimakasih halodoc
9,Solusi Berobat Tepat,positif,Layanan Konsultasi Medis,Efektivitas solusi medis yang cepat dan tepat,CONSULTATION_SERVICE,340,2.45,4.96,124,"solusi, berobat, tepat, cepat, penanganan, memudahkan, pasien, akurat, untuk, selalu","Memudahkan konsultasi dengan cepat | Mantab, mempermudah berobat | solusi cepat dan tepat"
10,Terima Kasih Terimakasih,positif,Kepuasan Pengguna,Apresiasi positif terhadap layanan aplikasi,POSITIVE_FEEDBACK,326,2.35,4.95,68,"terima, kasih, terimakasih, membantu, sangat, sudah, banyak, sekali, halodoc, dok","terimakasih sangat membantu | terimakasih ,sangat membantu | terimakasih sangat membantu"
11,Aplikasi Ini Yang,positif,Kepuasan Pengguna,Ulasan positif mengenai manfaat aplikasi,POSITIVE_FEEDBACK,248,1.79,4.96,34,"aplikasi, ini, yang, membantu, sangat, banget, suka, kedokter, bermanfaat, sekali",apk yang sangat membantu 👌🏻🙏 | aplikasi yg sangat membantu | aplikasi yang sangat membantu
12,Mudah Praktis Dan,positif,Pengalaman Pengguna,Kemudahan dan kecepatan penggunaan aplikasi,USER_EXPERIENCE,243,1.75,4.97,24,"mudah, praktis, dan, cepat, digunakan, ribet, lebih, di, tidak, hemat",Cepat dan praktis | Cepat dan praktis | cepat dan praktis
13,Tidak Di Tapi,positif,Logistik dan Pengiriman,Kendala pengiriman obat dan sistem kurir,DELIVERY_ISSUE,217,1.56,4.61,680,"tidak, di, tapi, bisa, pembayaran, sudah, saya, nya, tolong, apotek","pelayanan dokternya bagus obatnya jaga bangus yg jadi masalah yg ngatar obatnya, 2 x pesanan saya ga sampai beli mahal2 tp obatnya ga sampai tp di aplikasi di infokan sdh diterima, anak lagi sakit nangis2 tp obatnya ga sampai2 mohon cari pengatar barang yg amanah | sangat membantu.. tapi tolong, kasih alternatif apotik terdekat, jika tidak adapun bisa di notif/dibatalkan.. gapapa bgt . . aku kasihan sama drivernya, pernah Konsul dokter halodoc, ada resep.. eh systemnya nyambung ke apotik daerah Jatiasih, FYI aku di Cibarusah 😭😭 drivernya kasihan . tolong system nya di perbaiki terkait ini | Gue bingung, paket obat kirim pake instan tapi kenapa drivernya kirim beberapa obat ke customer lain juga🙏🙏 saya nunggu driver sampai aja lama bgt, coba deh cekkk supply chain nya gmn"
14,Menit Coba Baru,positif,Layanan Konsultasi Medis,Durasi sesi chat konsultasi dokter terbatas,CONSULTATION_LIMIT,152,1.1,4.73,156,"menit, coba, baru, 30, kurang, waktu, cuman, mencoba, tapi, cocok","Sangat membantu,,tapi durasinya sedikit kalau tanya-tanya masih kurang lama, | Baiknya konsultasi di tambah waktunya.. Tidak terlalu puas chat sama dokternya.. Jadi terbatas sama waktu 30 menit | Baru coba sesi chat pertama kali, dokternya lumayan fast respon. Dan penjelasannya lengkap"
15,Semoga Sembuh Lekas,positif,Kepuasan Pengguna,Harapan baik dan apresiasi pengguna,POSITIVE_FEEDBACK,125,0.9,4.9,78,"semoga, sembuh, lekas, saya, kedepannya, bisa, bermanfaat, sehat, berkah, bismillah","Semoga cepat sembuh...sangat bermanfaat | Sangat membantu, semoga lekas sembuh 🤲 | Sangat membantu, dan semoga bisa Lekas sembuh"
16,Fast Respon Response,positif,Layanan Konsultasi Medis,Kecepatan respon dokter dalam chat,DOCTOR_RESPONSE,104,0.75,4.97,0,"fast, respon, response, respond, nya, dokter, resep, respone, obat, dan",fast respon | fast respon. | Fast respon
17,Penjelasannya Jelas Penjelasan,positif,Layanan Konsultasi Medis,Kualitas penjelasan medis yang mudah dipahami,DOCTOR_QUALITY,95,0.68,4.97,61,"penjelasannya, jelas, penjelasan, padat, singkat, detail, detil, sanga, paham, nya","Penjelasan nya bagus | penjelasan nya sangat baik, | bagus penjelasan dokternya mudah dipahami"
18,Membatu Sngat Membntu,positif,Kepuasan Pengguna,Apresiasi umum terhadap manfaat aplikasi,POSITIVE_FEEDBACK,79,0.57,4.92,1,"membatu, sngat, membntu, mmbntu, mmbantu, mambantu, sangat, sekali, membabtu, apliksi",sangat sangat membatu | Sangat membatu sekali | Sangat membatu sekali..
-1,Sippp Baik Cool,positif,Lain-lain / Noise,Ulasan umum/noise,OVERALL_SATISFACTION,76,0.55,4.92,0,"sippp, baik, cool, mantappppp, perfect, 𝑐𝑒𝑝𝑎𝑡, approved, gacor, 𝑑𝑎𝑛, 𝑠𝑎𝑛𝑔𝑎𝑡",dokter baik | well | Baik dan Jelas
19,Responsif Dokternya Karlina,positif,Layanan Konsultasi Medis,Keramahan dan kompetensi dokter saat konsultasi,DOCTOR_QUALITY,75,0.54,4.93,3,"responsif, dokternya, karlina, informatif, dokter, spkk, ramah, baik², kompeten, sabar",dokter ramah | Dokter ramah | Dokter ramah
20,Helpfull Helpful Sok,positif,Kepuasan Pengguna,Ulasan positif mengenai kegunaan aplikasi secara umum,GENERAL_FEEDBACK,72,0.52,4.96,15,"helpfull, helpful, sok, very, thankyou, far, thank, use, you, good",sangat helpfull | very helpfull | very helpfull
21,Jerawat Kulit Saya,positif,Layanan Konsultasi Medis,Efektivitas konsultasi dokter untuk masalah kesehatan kulit,CONSULTATION_SERVICE,66,0.48,4.94,8,"jerawat, kulit, saya, wajah, mengatasi, permasalahan, masalah, sudah, sembuh, konsultasi","Alhamdulillah sangat membantu, terimakasih dokter meiza dan dokter ambar sudah membantu saya mengatasi permasalahan kulit saya🫶🏻 | Sangat membantu konsul jerawat saya lebih membaik | Sangat membantu permasalahan kulit saya"
22,Membeli Obat Kemudahan,positif,Layanan Konsultasi Medis,Kemudahan akses konsultasi dan penebusan resep obat,CONSULTATION_SERVICE,61,0.44,4.9,178,"membeli, obat, kemudahan, mudah, resep, dan, untuk, memudahkan, konsultasi, terpercaya","Memudahkan untuk konsultasi penyakit, dokter ramah dan profesional | kemudahan konsultasi dan dapat resep obat | memudahkan dalam konsultasi dokter"
23,Asuransi Pakai Kantor,positif,Integrasi Asuransi,Kemudahan penggunaan asuransi kantor untuk pembayaran,INSURANCE_INTEGRATION,60,0.43,4.95,3,"asuransi, pakai, kantor, bisa, perusahaan, dengan, sudah, gratis, kerjasama, apalagi","sangat membantu, apalagi bisa konek dengan asuransi. | Mantab... Cepat... Enak bekerjasama dengan asuransi kesehatan jadi langsung pakai fasilitas .. | Amat sangat membantu, apalagi asuransi kantor sudah bisa ngelink ke aplikasi ini jafi obat2an bisa gratis dicover asuransi"
24,Promo Membanyaki Kode,positif,Promosi dan Voucher,Permintaan penambahan promo dan voucher diskon,PROMOTION_FEEDBACK,34,0.25,4.85,28,"promo, membanyaki, kode, ongkirnya, voucher, kalau, sering, vouchernya, digunakan, bisa","lumayan lancar, tolong tambah promo gratis ongkirnya | Bagus banyak promo kode voucher nya 🥰 | sangat membantu, mau beli obat konsul atau order cek kesehatan bisa banget. moga makin terdepan dan banyakin promonya yaaa"
25,Alhamdulillah Allah Masya,positif,Kepuasan Pengguna,Ulasan positif singkat terkait kesembuhan pengguna,GENERAL_FEEDBACK,33,0.24,4.94,0,"alhamdulillah, allah, masya, masyaallah, sembuh, izin, nya, di, memang, sekarang",alhamdulillah sembuh | Alhamdulillah | alhamdulillah
26,Mantul Mantao Kalengkaleng,positif,Kepuasan Pengguna,Ulasan positif singkat (slang),GENERAL_FEEDBACK,29,0.21,4.97,82,"mantul, mantao, kalengkaleng, mantuliti, ayo, supaya, point, on, indonesia, bukan",mantul | mantul | mantul
27,And Ai That,positif,Kepuasan Pengguna,Ulasan positif dalam bahasa Inggris mengenai layanan,GENERAL_FEEDBACK,24,0.17,4.96,0,"and, ai, that, this, with, can, for, is, an, very","This health app is very important and very good and helps me | An application that really helps you in controlling your health and is very helpful in obtaining health information | awesome service, moreover the talk therapy clinic one. surely others too. I have experienced both."
28,Biasa Luar Tanggapi,positif,Kepuasan Pengguna,Ulasan positif singkat mengenai kualitas layanan,GENERAL_FEEDBACK,19,0.14,4.95,0,"biasa, luar, tanggapi, tanggal, jadwal, tentukan, luarbiasa, celet, mengapa, 18",luar biasa | luar biasa | luar biasa...
