Topic,Count,Name,Representation,Representative_Docs,label_manual
-1,2,-1_23r_222_egefe⁴er_lumayaannn,"['23r', '222', 'egefe⁴er', 'lumayaannn', 'ee⁴3r', '3éy', '', '', '', '']","['dari awal pertama kali belanja lewat apps pengirimannya selalu lama melebihi satu jam padahal sudah pilih opsi pengiriman max 1 jam terus banyak stock produk yang tidak di update di sistem jadi alhasil suka ada stock produk yang ternyata kosong di storenya belum lagi saat sampai suka ada barang yang salah bahkan pernah dikasih produk yang h 5 menuju expired terus kalau pakai sistem tf ada uang lebih yang harusnya jadi kembalian ternyata tidak dikembaliin dan enggak tau itu uang lebihnya dikemanakan', 'kecewa sama alfa gift ini saya kirim pemesanan 1jam sesudah pembayaran tapi waktu pertama kali dia lama sekali saya sampai tunggu 2 5jam kata nya ada kendala dalam pengiriman yang meludak terus hp nya lupa ke cas terus ini tadi barusan saya pesan dari jam 1 2 3 sore kurang baru sampai 1 2 8 dengan alasan lampu mati dari pagi jam 8 sampai jaringan nya juga kena tapi di chat nya online saya mau batal kan pengiriman nya tapi kata nya tidak bisa terus tiba-tiba kata nya kurir nya sudah di jalan kan aneh', 'gratis ongkir dan barang dikirim langsung ke rumah tapi saya jadi bingung kok setelah ramadhan pengantarannya tidak tepat waktu dan lama prosesnya padahal sudah pilih maksimal 1 jam setelah pembayaran di aplikasi tapi tetap saja datang 3 jam sebelumnya tidak begitu dan ini sudah 3 kali terjadi tanpa konfirmasi apapun selain itu proses pengembalian dana lama banget direspon padahal sudah mengikuti prosedur harusnya dana kembali 1 24 jam namun ditungguin tidak ada notif tolong ditingkatkan ya']",23R 222 Egefe⁴Er
0,132,0_jam_pengiriman_sampai_maksimal,"['jam', 'pengiriman', 'sampai', 'maksimal', 'malam', 'pesan', 'lebih', 'lama', 'setelah', 'dikirim']","['kadang pengiriman lambat padahal sudah dari pagi jam 9 pesenya dan di konfirmasi di kirim maksimal 1 jam setelah pembayaran tapi pengiriman bisa sampai jam 5 sore', 'kenapa di sidoarjo pengiriman nya selalu lama ya bahkan bisa lebih dari 1 jam beda banget sama di surabaya meskipun tulisannya pengiriman 1 jam setelah pembayaran tidak sampai 1 jam sudah di anter sama kurirnya di perbaiki lagi dong kalau bisa jangan lama lah masak lebih dari 1 jam', 'pengirimannya lama katanya maksimal pengiriman 1 jam setelah pembayaran ternyata sampai 2 jam lebih']",Jam Pengiriman Sampai
1,37,1_begitu_pegawainya_order_nah,"['begitu', 'pegawainya', 'order', 'nah', 'komplen', 'cod', 'pegawai', 'kalau', 'deh', 'makanan']","['aplikasinya bagus promo juga banyak promo gantung promo jsm oke yang tidak menyenangkan dari alfamart adalah kejujuran kasir seringkali kantong kresek masuk nota padahal tidak pakai jrg ditanya punya member tidak kalau sudah antrian panjang kadang meminta uang 2ribu nota 1500 yang 500 tidak tahu kemana coba bilang seperti diswalayan lain donasi kak infak kak kadang belanja dikit meminta struk bilang tidak bisa diprint tanpa kata maaf perbaiki lagi dong kalau saya complain ke cs alfa besoknya lagi kasir tidak mau tanya buruk banget attitude', 'halo min mau tanya saya kan liat² update stok hot wheels terbaru di aplikasi nah kebetulan yang seri terbaru sudah bisa dicek out kirim ke rumah pickup di toko tapi begitu saya cek langsung ke toko bertanya stok hot wheels yang baru pegawai nya bilang barangnya belum datang kok buat bingung begini ya jadinya padahal saat hari minggu kemarin sempat lihat tumpukan box kuning yang artinya barang² baru datang tapi belum sempat dibongkar sama pegawainya masa iya tidak sinkron antara pegawai sama aplikasinya', 'masa order belum di ambil tapi katanya tidak ada order gula terus tak tanyakan biasanya tuh sudah di siapin di gantung pakai kresek eh katanya tidak ada jelas order tapi ket sudah di ambil anak toko tidak tanggung jawan katanya gula stoknya saat paling kadang plus minus misal minus merk a yang plus merk b begitu terus berarti kan misal minus ya memang kesalahan anak toko payah baru kali ini kecewa sama alfa kalau bisa seperti indomaret min misal mau ambil pesenan harus pakai pin barcode']",Begitu Pegawainya Order
2,48,2_kurir_tahu_saran_maps,"['kurir', 'tahu', 'saran', 'maps', 'dimana', 'kita', 'kurirnya', 'biar', 'pengiriman', 'posisi']","['tolong perbaikan dan lebih upgrade kan lagi sistem nya mohon buat peta kurir nya seperti spx atau jnt dan mohon dikabari lagi ketika kurir sudah mau jalan ke alamat rumah jangan hanya status nya dibuat dalam proses pengantaran tapi berjam jam lama menunggu nya dan tidak tahu sudah dimana posisi driver nya', 'tidak adanya kontrol delivery dan estimasi pengiriman melebihi janji tolong apliksinya ditingkatkan lagi untuk sistem deliverynya apalagi untuk maps agar tidak bertanya lagi untuk pengiriman kalau bisa sekalian kasih kolom patokan mapsnya yang akurat dan disesuaikan dengan rute jalan serta ada kontrol pengiriman saran saja sih kalau memang deliv lama estimasi jangan terlalu cepat diaplikasi saya menunggu satu jam lebih sementara maks deliv 1 jam', 'tolong sediakan pembeli layanan cancel belanjaan jika dalam waktu 1 jam pesanan tidak di antar hanya keterangan di proses cukup itu saja karena akhir² ini layanan agak buruk keterangan status dalam pengiriman tapi pesanan tidak di antar bisa 2 3 jam baru sampai padahal dekat ketika di tanya kenapa lama alasannya pesanan membludak seharusnya kan kalau pesanan tidak dalam pengiriman jangan di buat status pengiriman biar saja keterangan di proses kami tinggal pilih cancel jika terlalu lama menunggu']",Kurir Tahu Saran
3,24,3_diskonan_dompet_belanja_makin,"['diskonan', 'dompet', 'belanja', 'makin', 'digital', 'sebelah', 'buat', 'banget', 'doang', 'cara']","['terbantu banget untuk budgeting belanja dan cari promo diskonan tapi sekarang aplikasinya berat banget mana tiap mau tambah ke keranjang suka keluar sendiri tolong ih update bukannya lebih baik malah mundur', 'enggak tau kenapa sekarang alfagift seperti tidak apdet buat diskonan di aplikasi nya barang yang diskon yang free tidak keluar di aplikasinya padahal lumayan membantu banget buat barang yang dicari tanpa harus mengetik item barangnya', 'asli alfagift tuh membantu banget irt yang repot kemana2 atau darurat butuh sesuatu cuma kok sekarang aplikasi jadi lambat gambar produk tidak keluar dan setiap mau melakukan pembayaran loading doang help min']",Diskonan Dompet Belanja
4,34,4_scan_langsung_lewat_promo,"['scan', 'langsung', 'lewat', 'promo', 'harga', 'alfagift', 'barcode', 'toko', 'diskon', 'belanja']","['promo alfagift tidak jelas kebanyakan cashback poin tidak ada promo potongan langsung adapun promo potongan langsung diskon nya cuma 10rb 20rb min blanja 100rb tidak seperti sih biru banyak banget promo² potongan langsungnya tinggal memasuki saja kupon diskon nya pada saat mau cekout', 'kenapa beberapa produk di aplikasi diskon tapi di toko langsung tidak diskon katanya harus belanja lewat alfagift padahal hrg di alfagift itu buat acuan saat belanja di toko sayangnya bnja lewat alfagift tidak bisa pickup bayar cash di tempat padahal itu memudahkan konsumen terus a poin dari belanja lewat alfagift meski sudah lewat berhari2 atau berminggu2 tidak ada 1x pun yang masuk ke saldo a poin', 'apliksi terbaik tanpa mnimal blja gratis ongkir saat kbutuhan rumah darurat bisa langsung ordr di alfagif cra pesan gampng cra byar mudah pesanan langsung datang tidak perlu menunggu lama banyak promo nya ada cashback apoin buat blja makin hemat ada tebus murah 1rupiah buat emak emak happy blaja di alfagif tidak perlu capek keluar rumah duduk manis tinggal plih pesanan langsung dtang tanks alfagif buat hidup jadi mudah tidak perlu cari aplikasi lain but blja cukup alfagif']",Scan Langsung Lewat
5,24,5_bintang_kasih_etalase_tambah,"['bintang', 'kasih', 'etalase', 'tambah', 'dulu', 'alamat', 'rokoknya', 'gua', 'bagus', 'kerasa']","['aplikasinya bagus cuma menu top up ewalet nya terlalu sedikit maksimal cuma 50 ribu kalau bisa ditambahkan lagi', 'kasih fitur cancel kak plis terus kalau kita pindah tempat coba di kasih notifikasi buat ganti alamat biar bantu kita yang suka lupa ganti alamat fakkkkkk saya salah alamat dua kali azuuuu', 'tolong fitur chat pesanan di alfagift tolong diperbaiki ya soalnya suka salah ngelampirkan foto aturnya ada fitur hapus foto supanya pihak konsumen kalau salah lampirkan foto bisa dihapus kukasih rating 3 dulu nantu kalau dah diperbaiki kasih bintang']",Bintang Kasih Etalase
6,22,6_lumayan_mantul_membaca_ft,"['lumayan', 'mantul', 'membaca', 'ft', 'alhamdulilah', 'ilakes', 'pjadi', 'siti', 'terjauh', 'mengesalkan']","['mantul', 'mantul', 'kipa ilakes']",Lumayan Mantul Membaca
7,24,7_bagus_baik_pelayanan_beda²,"['bagus', 'baik', 'pelayanan', 'beda²', 'bijaksana', 'pengirimnya', 'msing2', 'manfaat', 'menunjang', 'harmonis']","['bagus', 'bagus', 'bagus']",Bagus Baik Pelayanan
8,22,8_lambat_banget_muter_lelet,"['lambat', 'banget', 'muter', 'lelet', 'menu', 'aman', 'gangguannya', 'lemottt', 'loadingny', 'muluk']","['aplksi parah berat banget loding ke menu utama bgst', 'aplikasi minta update muluk lambat banget tiap di buka ampun deh', 'lambat banget aplikasi nya']",Lambat Banget Muter
